TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
"GO:0000027"	"ribosomal large subunit assembly"	2	5.042996609308023	0.27174813310071255	0.9198696493017531	0.73261597	null
"GO:0000028"	"ribosomal small subunit assembly"	1	4.884092676933343	0.1884781016628359	0.9220604296228688	0.86065111	null
"GO:0000103"	"sulfate assimilation"	1	4.645127399258391	0.10871549816971335	0.8344390371967854	0.5086417	null
"GO:0000105"	"L-histidine biosynthetic process"	6	5.04917148862561	0.27563953210468173	0.5920362418576145	0.62867971	null
"GO:0000160"	"phosphorelay signal transduction system"	10	5.924751582914166	2.069783687934709	0.9179206012638043	0.45918523	null
"GO:0000162"	"tryptophan biosynthetic process"	3	4.933962827883625	0.21141298839211184	0.6022000641758445	0.80683308	null
"GO:0000271"	"polysaccharide biosynthetic process"	2	5.492254581401757	0.7645872943681143	0.7274244321393281	0.80805893	null
"GO:0000716"	"transcription-coupled nucleotide-excision repair, DNA damage recognition"	1	3.9451730461739003	0.02169190349271398	0.7652815312962129	0.55821782	null
"GO:0000725"	"recombinational repair"	1	5.3311862923975815	0.5276648440676299	0.7342719376153277	0.75837893	null
"GO:0000902"	"cell morphogenesis"	1	5.360402160724579	0.5643833072815533	0.9958917552512419	0.68061426	null
"GO:0000917"	"division septum assembly"	4	4.592731766393962	0.09635950639240434	0.9347945555279839	0.47316826	null
"GO:0000967"	"rRNA 5'-end processing"	1	4.257606586392311	0.04454064286896087	0.6977150825349195	0.68194162	null
"GO:0001510"	"RNA methylation"	1	5.461833047775286	0.712861962256531	0.7465258640708106	0.83321918	null
"GO:0002181"	"cytoplasmic translation"	2	5.185799878745934	0.37754692803215667	0.7473930518871058	0.4591912	null
"GO:0002949"	"tRNA threonylcarbamoyladenosine modification"	1	4.542339840842044	0.08580276361693058	0.692288896478755	0.54095044	null
"GO:0005975"	"carbohydrate metabolic process"	10	6.322974310459075	5.177832504046095	0.8869811311991439	0.12158858	null
"GO:0005992"	"trehalose biosynthetic process"	1	4.3949592284862	0.06111047088586209	0.8262884910899542	0.65535056	null
