TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
"GO:0000014"	"single-stranded DNA endodeoxyribonuclease activity"	1	4.22909282945599	0.03698869906406106	0.8449163813998237	0.75992889	null
"GO:0000049"	"tRNA binding"	17	5.5256821686263855	0.7322893684468847	0.957599643938226	0.55878171	null
"GO:0000062"	"fatty-acyl-CoA binding"	1	4.444918753773256	0.06080020137079079	0.9572745752912281	0.68299019	null
"GO:0000104"	"succinate dehydrogenase activity"	1	4.396582891683383	0.054396044457421557	0.871366901335079	0.69125205	null
"GO:0000107"	"imidazoleglycerol-phosphate synthase activity"	2	4.29525913648168	0.04307635878846011	0.8728678859176336	0.64494683	null
"GO:0000155"	"phosphorelay sensor kinase activity"	2	5.583397166073963	0.8363689233549234	0.7918808461249024	0.72994936	null
"GO:0000156"	"phosphorelay response regulator activity"	5	5.21988303380143	0.36214481457662945	0.9855568477553855	-0	null
"GO:0000166"	"nucleotide binding"	8	6.9236120800790015	18.306860962763057	0.9344907382811434	0.73119307	null
"GO:0000175"	"3'-5'-RNA exonuclease activity"	2	4.916806505171	0.1802200476173295	0.832449817943428	0.82473879	null
"GO:0000287"	"magnesium ion binding"	38	5.90029337427456	1.734980838714495	0.9606741362129376	-0	null
"GO:0000400"	"four-way junction DNA binding"	2	4.478436620683433	0.06567862355940028	0.9702446080362117	0.34261883	null
"GO:0000906"	"6,7-dimethyl-8-ribityllumazine synthase activity"	1	4.0317315399458264	0.023479725943119607	0.8823029449124989	0.55738846	null
"GO:0000976"	"transcription cis-regulatory region binding"	10	6.153311705691067	3.1067997063691872	0.9573103593429665	0.31588132	null
"GO:0001000"	"bacterial-type RNA polymerase core enzyme binding"	2	3.52270499273475	0.007270704389377281	0.9804336718184776	0.31158939	null
"GO:0002055"	"adenine binding"	1	3.8698768132667665	0.016174097725993892	0.9678796375419683	0.20261562	null
"GO:0002161"	"aminoacyl-tRNA editing activity"	3	4.970895210319613	0.20412322497189886	0.8184469669776359	0.60479708	null
"GO:0003676"	"nucleic acid binding"	9	6.972410120534942	20.48386614107179	0.9618396550031567	0.20447749	null
"GO:0003677"	"DNA binding"	57	6.746203426753578	12.1676078310834	0.9515123941753383	0.45204771	null
"GO:0003678"	"DNA helicase activity"	2	5.383382650604397	0.5276946718003821	0.8543342495376228	0.83148732	null
"GO:0003684"	"damaged DNA binding"	1	5.176941643135783	0.32805042773721993	0.9659444296090599	0.40257377	null
"GO:0003700"	"DNA-binding transcription factor activity"	23	6.435402523670657	5.948455529733023	0.9859819330279613	0.60324022	null
"GO:0003723"	"RNA binding"	14	6.443305554056935	6.057692897451659	0.9556663898800235	0.51352104	null
"GO:0003725"	"double-stranded RNA binding"	2	4.785073454409892	0.1330663319392396	0.9634495155790356	0.47318845	null
"GO:0003729"	"mRNA binding"	3	5.701257910733925	1.0971320487170808	0.9559315637211981	0.58381718	null
"GO:0003735"	"structural constituent of ribosome"	40	5.987618454157255	2.1213867998801152	0.9971427670153384	0	null
"GO:0003743"	"translation initiation factor activity"	1	5.238440052916517	0.37795439485049903	0.9281794758128356	0.8450428	null
"GO:0003746"	"translation elongation factor activity"	7	5.118139017186992	0.28650853463045667	0.9311438095865722	0.24324714	null
"GO:0003755"	"peptidyl-prolyl cis-trans isomerase activity"	1	5.175424829790322	0.3269066723784587	0.8997761250586808	0.52563465	null
"GO:0003824"	"catalytic activity"	6	7.442996037341388	60.53379149902957	1	-0	null
"GO:0003841"	"1-acylglycerol-3-phosphate O-acyltransferase activity"	3	4.503600041761465	0.06959664048492782	0.8756476960681674	0.57195568	null
"GO:0003842"	"1-pyrroline-5-carboxylate dehydrogenase activity"	2	4.074084689028243	0.025885104579293057	0.8768206190557234	0.73220169	null
