TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
"GO:0000049"	"tRNA binding"	17	5.5256821686263855	0.7322893684468847	0.9565577352002811	0.55878171	null
"GO:0000062"	"fatty-acyl-CoA binding"	1	4.444918753773256	0.06080020137079079	0.9568589192046938	0.23006547	null
"GO:0000104"	"succinate dehydrogenase activity"	1	4.396582891683383	0.054396044457421557	0.8750496422997882	0.69125205	null
"GO:0000107"	"imidazoleglycerol-phosphate synthase activity"	2	4.29525913648168	0.04307635878846011	0.8723884914304076	0.64494683	null
"GO:0000156"	"phosphorelay response regulator activity"	7	5.21988303380143	0.36214481457662945	0.9838729959709009	-0	null
"GO:0000155"	"phosphorelay sensor kinase activity"	2	5.583397166073963	0.8363689233549234	0.7863733494968381	0.72994936	156
"GO:0000175"	"3'-5'-RNA exonuclease activity"	3	4.916806505171	0.1802200476173295	0.8253150928677749	0.51344743	null
"GO:0004519"	"endonuclease activity"	1	5.7709734498986265	1.2881741174579566	0.8749117479105211	0.7055603	175
"GO:0004521"	"RNA endonuclease activity"	2	5.438219474427008	0.5987144582660586	0.8104483575224295	0.81263366	175
"GO:0004534"	"5'-3' RNA exonuclease activity"	1	4.378125245619373	0.052132543871476124	0.8393488472871345	0.8666951	175
"GO:0008408"	"3'-5' exonuclease activity"	1	5.323872666756125	0.4601214305856292	0.882985802638275	0.82473879	175
"GO:0008409"	"5'-3' exonuclease activity"	1	4.810178732066239	0.1409853098811972	0.8929359485312754	0.74901665	175
"GO:0000287"	"magnesium ion binding"	34	5.90029337427456	1.734980838714495	0.9598180064185617	-0	null
"GO:0000400"	"four-way junction DNA binding"	2	4.478436620683433	0.06567862355940028	0.9690164982810908	0.34261883	null
"GO:0000906"	"6,7-dimethyl-8-ribityllumazine synthase activity"	1	4.0317315399458264	0.023479725943119607	0.8829817747976935	0.55738846	null
"GO:0000976"	"transcription cis-regulatory region binding"	14	6.153311705691067	3.1067997063691872	0.9555157451298082	0.31588132	null
"GO:0001000"	"bacterial-type RNA polymerase core enzyme binding"	2	3.52270499273475	0.007270704389377281	0.9803015527401507	0.31158939	null
"GO:0001058"	"RNA polymerase V activity"	4	4.979757732474805	0.2349246521611918	0.7594198261252093	0.59000674	null
"GO:0001054"	"RNA polymerase I activity"	4	4.433305698708123	0.05919588803359707	0.780274947601051	0.87126507	1058
"GO:0001055"	"RNA polymerase II activity"	4	4.430204098631749	0.05877461936138157	0.7803736405295119	0.87080389	1058
"GO:0001056"	"RNA polymerase III activity"	4	4.430171841456267	0.05877025388291302	0.780374666488962	0.8707991	1058
"GO:0001057"	"RNA polymerase IV activity"	4	4.979757732474805	0.2349246521611918	0.7594198261252093	0.97045818	1058
"GO:0003899"	"DNA-directed 5'-3' RNA polymerase activity"	1	5.102526317851885	0.27639153827958196	0.7578761535373959	0.96841248	1058
"GO:0001066"	"plastid single subunit type RNA polymerase activity"	4	1.6020599913279623	9.557484423968016E-05	0.8435647261139329	0.13435086	null
"GO:0002055"	"adenine binding"	1	3.8698768132667665	0.016174097725993892	0.96743054948953	0.19416705	null
"GO:0002161"	"aminoacyl-tRNA editing activity"	3	4.970895210319613	0.20412322497189886	0.8101054643822928	0.60479708	null
"GO:0003676"	"nucleic acid binding"	8	6.972410120534942	20.48386614107179	0.960965530411965	0.19739858	null
"GO:0003677"	"DNA binding"	61	6.746203426753578	12.1676078310834	0.9500010557321644	0.45204771	null
"GO:0003684"	"damaged DNA binding"	1	5.176941643135783	0.32805042773721993	0.9645303464907719	0.40257377	null
"GO:0003697"	"single-stranded DNA binding"	1	5.256763433469915	0.39424199501667534	0.9639327808988231	0.41078824	null
"GO:0003700"	"DNA-binding transcription factor activity"	27	6.435402523670657	5.948455529733023	0.9828138861971456	0.60324022	null
"GO:0003723"	"RNA binding"	14	6.443305554056935	6.057692897451659	0.9542994618116437	0.51352104	null
"GO:0003725"	"double-stranded RNA binding"	2	4.785073454409892	0.1330663319392396	0.9625667750016865	0.47318845	null
"GO:0003729"	"mRNA binding"	3	5.701257910733925	1.0971320487170808	0.9548430808310294	0.58381718	null
"GO:0003735"	"structural constituent of ribosome"	40	5.987618454157255	2.1213867998801152	0.9971488678561202	0	null
"GO:0003746"	"translation elongation factor activity"	7	5.118139017186992	0.28650853463045667	0.9215863456492989	0.24324714	null
"GO:0003743"	"translation initiation factor activity"	1	5.238440052916517	0.37795439485049903	0.9184311356914967	0.8450428	3746
"GO:0003747"	"translation release factor activity"	1	4.669660832034381	0.1020125008531782	0.9217708917226745	0.96583563	3746
"GO:0016149"	"translation release factor activity, codon specific"	2	4.465308479587306	0.06372288920548794	0.9243241928244225	0.73119212	3746
"GO:0003824"	"catalytic activity"	8	7.442996037341388	60.53379149902957	1	-0	null
"GO:0003841"	"1-acylglycerol-3-phosphate O-acyltransferase activity"	3	4.503600041761465	0.06959664048492782	0.8754465226655329	0.57195568	null
"GO:0003849"	"3-deoxy-7-phosphoheptulonate synthase activity"	1	4.1882251727052795	0.033666569949491194	0.8803619864091867	0.65676312	null
"GO:0003862"	"3-isopropylmalate dehydrogenase activity"	1	4.027512692448811	0.02325272106275478	0.8778637326108617	0.49136336	null
"GO:0003879"	"ATP phosphoribosyltransferase activity"	1	4.017909395896689	0.022744142821168194	0.8773108793732928	0.62010327	null
"GO:0003883"	"CTP synthase activity"	1	4.155153777765149	0.031197891875523708	0.8782355488414364	0.58043932	null
"GO:0003885"	"D-arabinono-1,4-lactone oxidase activity"	1	3.916137983107175	0.017992319508146778	0.8807835523104618	0.46570781	null
"GO:0003887"	"DNA-directed DNA polymerase activity"	2	5.170000473264351	0.3228489601419374	0.7663615342609524	0.6739913	null
"GO:0003920"	"GMP reductase activity"	1	3.5984622004741507	0.00865674380314329	0.9024338990754364	0.25213944	null
"GO:0003937"	"IMP cyclohydrolase activity"	1	4.111128036345124	0.028190077210689755	0.9104425848606357	0.68433536	null
"GO:0003934"	"GTP cyclohydrolase I activity"	1	4.164709663539879	0.03189200295202385	0.9097472458970112	0.79652611	3937
"GO:0003938"	"IMP dehydrogenase activity"	3	4.232258962342701	0.03725935872911143	0.8742687964913993	0.2783103	null
