TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
"GO:0000050"	"urea cycle"	1	4.19901427093462	0.03891891274557964	0.7498864361412286	0.48315613	null
"GO:0000160"	"phosphorelay signal transduction system"	8	5.924751582914166	2.069783687934709	0.9157357743122004	0.45918523	null
"GO:0000162"	"tryptophan biosynthetic process"	5	4.933962827883625	0.21141298839211184	0.6076202039369557	0.59308321	null
"GO:0000105"	"L-histidine biosynthetic process"	5	5.04917148862561	0.27563953210468173	0.6056666317785435	0.80683308	162
"GO:0006596"	"polyamine biosynthetic process"	1	4.801972791064626	0.15600547227677264	0.8404609913355378	0.87690526	162
"GO:0009073"	"aromatic amino acid family biosynthetic process"	4	5.48127203050035	0.745494579583934	0.5921483313662594	0.84028821	162
"GO:0009691"	"cytokinin biosynthetic process"	1	4.262806923000563	0.04507721781068465	0.8034356807700067	0.71561986	162
"GO:0019441"	"tryptophan catabolic process to kynurenine"	1	4.509565403222792	0.07956569525762759	0.6169416101369131	0.86831204	162
"GO:0019442"	"tryptophan catabolic process to acetyl-CoA"	1	3.6829569263012085	0.01185879848268421	0.5675257648119231	0.75956497	162
"GO:0019556"	"L-histidine catabolic process to glutamate and formamide"	1	4.24440083380137	0.04320658957348249	0.617687096316538	0.9672063	162
"GO:0019557"	"L-histidine catabolic process to glutamate and formate"	1	4.207661291196781	0.039701622981672124	0.6255345610363209	0.8285094	162
"GO:0033388"	"putrescine biosynthetic process from arginine"	1	4.301594211829356	0.04928859269733318	0.6691929200522226	0.88951757	162
"GO:0033389"	"putrescine biosynthetic process from arginine, using agmatinase"	1	4.102090525511837	0.031133653384697504	0.678434351453999	0.90698135	162
"GO:0000256"	"allantoin catabolic process"	2	3.9536630637470913	0.022120178904915525	0.8601786188706166	0.03948609	null
"GO:0000716"	"transcription-coupled nucleotide-excision repair, DNA damage recognition"	1	3.9451730461739003	0.02169190349271398	0.774853985275684	0.55821782	null
"GO:0000731"	"DNA synthesis involved in DNA repair"	1	4.816035707382992	0.1611398545173038	0.6813799720987773	0.66828143	null
"GO:0000902"	"cell morphogenesis"	2	5.360402160724579	0.5643833072815533	0.9977521449929081	-0	null
"GO:0000917"	"division septum assembly"	2	4.592731766393962	0.09635950639240434	0.9387589293304585	0.46488325	null
"GO:0043093"	"FtsZ-dependent cytokinesis"	1	4.611468390479829	0.1006078015732082	0.9770889545606954	0.82217502	917
"GO:0000967"	"rRNA 5'-end processing"	1	4.257606586392311	0.04454064286896087	0.7036582183623954	0.6130234	null
"GO:0002143"	"tRNA wobble position uridine thiolation"	1	4.351545085306165	0.05529675523287328	0.7025475073383801	0.61722315	null
"GO:0002100"	"tRNA wobble adenosine to inosine editing"	1	4.122346966255079	0.03262031056268448	0.712373700063605	0.76177013	2143
"GO:0002181"	"cytoplasmic translation"	2	5.185799878745934	0.37754692803215667	0.7501218574042028	0.4591912	null
"GO:0002949"	"tRNA threonylcarbamoyladenosine modification"	2	4.542339840842044	0.08580276361693058	0.6945832997879997	0.63625529	null
"GO:0005975"	"carbohydrate metabolic process"	17	6.322974310459075	5.177832504046095	0.8898209643693611	0.12158858	null
"GO:0005980"	"glycogen catabolic process"	1	4.3327211642891275	0.052951085877539515	0.7593966895487945	0.64179931	null
"GO:0005978"	"glycogen biosynthetic process"	1	4.5430617980146195	0.08594552208766443	0.7425641555784225	0.87684863	5980
"GO:0006002"	"fructose 6-phosphate metabolic process"	2	4.649763099462267	0.109882179465021	0.7746066257884334	0.40294827	null
"GO:0006015"	"5-phosphoribose 1-diphosphate biosynthetic process"	1	4.400917723075448	0.06195471494554675	0.7285486891241866	0.63328272	null
"GO:0006048"	"UDP-N-acetylglucosamine biosynthetic process"	2	4.4985862088175175	0.07757938343207214	0.6118939722959961	0.5352862	null
"GO:0006046"	"N-acetylglucosamine catabolic process"	1	4.2430876795053765	0.04307613786746707	0.8038891853712601	0.75238827	6048
"GO:0006047"	"UDP-N-acetylglucosamine metabolic process"	1	4.685670096490273	0.11935346559232878	0.6315535702596606	0.84548297	6048
"GO:0009298"	"GDP-mannose biosynthetic process"	1	4.337638932181409	0.053554117348742845	0.6243218146611815	0.79504117	6048
"GO:0046348"	"amino sugar catabolic process"	1	4.769044830603547	0.14461433085338896	0.7872370594187152	0.81889823	6048
"GO:0006071"	"glycerol metabolic process"	3	4.863810423971668	0.17987813447759335	0.7283743521261702	0.45686356	null
"GO:0006020"	"inositol metabolic process"	1	4.6157817693790255	0.10161203357423251	0.7675480176494133	0.80064041	6071
"GO:0006021"	"inositol biosynthetic process"	1	3.9947569445876283	0.024315705730684374	0.7275329087364575	0.7224467	6071
"GO:0019563"	"glycerol catabolic process"	2	4.623166559760084	0.10335467145836294	0.6847573651269316	0.93272843	6071
"GO:0046327"	"glycerol biosynthetic process from pyruvate"	1	3.6946929263314843	0.012183697071250901	0.6553216182995214	0.8026707	6071
"GO:0006094"	"gluconeogenesis"	5	5.016272658165155	0.25553027855475857	0.6724726112249978	0.43837971	null
"GO:0000271"	"polysaccharide biosynthetic process"	2	5.492254581401756	0.7645872943681143	0.7289103660021079	0.80805893	6094
"GO:0006006"	"glucose metabolic process"	3	5.290513185087556	0.4804905535489239	0.7264748379177353	0.85960511	6094
"GO:0019318"	"hexose metabolic process"	1	5.482233098635759	0.7471461474091479	0.7175923156489272	0.88299101	6094
"GO:0019323"	"pentose catabolic process"	1	4.611202692182174	0.10054626774961603	0.7020972877863703	0.82744718	6094
"GO:0033499"	"galactose catabolic process via UDP-galactose"	2	4.530673448440382	0.08352847349696375	0.7049600232219373	0.74442206	6094
"GO:0061621"	"canonical glycolysis"	1	4.120376479744434	0.032472629386063254	0.5342437446624041	0.84459257	6094
"GO:0006097"	"glyoxylate cycle"	1	4.278913574715962	0.046780474047716084	0.7070436105255772	0.43361207	null
"GO:0006099"	"tricarboxylic acid cycle"	8	5.302270305083983	0.4936760212682554	0.8287748407395565	0.13254999	null
"GO:0006119"	"oxidative phosphorylation"	1	5.301336065396815	0.49261517814952627	0.8355190711090421	0.84322775	6099
"GO:0009060"	"aerobic respiration"	3	5.6422408851035115	1.0799752151603983	0.8249684565802203	0.89085187	6099
"GO:0019646"	"aerobic electron transport chain"	3	5.05577192349387	0.27986075240310504	0.8416346204256462	0.91664153	6099
"GO:0022900"	"electron transport chain"	1	5.5178896866418805	0.8110773287684753	0.8327581697631877	0.71650568	6099
"GO:0022904"	"respiratory electron transport chain"	5	5.426678765880336	0.6574322939646986	0.8312796075037779	0.82337933	6099
"GO:0042773"	"ATP synthesis coupled electron transport"	3	5.152022181008303	0.3492955189445167	0.8388810802628562	0.89415749	6099
