TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
"GO:0000049"	"tRNA binding"	14	5.5256821686263855	0.7322893684468847	0.9642376049394932	0.55878171	null
"GO:0000155"	"phosphorelay sensor kinase activity"	4	5.583397166073963	0.8363689233549234	0.782157078536579	0.43673888	null
"GO:0000156"	"phosphorelay response regulator activity"	3	5.21988303380143	0.36214481457662945	0.9860624212200529	0.72994936	155
"GO:0004674"	"protein serine/threonine kinase activity"	1	5.908876243812141	1.7696099966663024	0.7985103964417539	0.73057746	155
"GO:0030234"	"enzyme regulator activity"	1	5.983156562211189	2.0997034683268057	0.9934568785142655	0.7262356	155
"GO:0000287"	"magnesium ion binding"	39	5.90029337427456	1.734980838714495	0.9652799221037393	0	null
"GO:0000400"	"four-way junction DNA binding"	2	4.478436620683433	0.06567862355940028	0.9734828150302844	0.34261883	null
"GO:0000906"	"6,7-dimethyl-8-ribityllumazine synthase activity"	1	4.0317315399458264	0.023479725943119607	0.8720611417307266	0.55738846	null
"GO:0000976"	"transcription cis-regulatory region binding"	13	6.153311705691067	3.1067997063691872	0.9617127957346476	0.31588132	null
"GO:0001000"	"bacterial-type RNA polymerase core enzyme binding"	2	3.52270499273475	0.007270704389377281	0.9817395926149003	0.32719407	null
"GO:0002055"	"adenine binding"	1	3.8698768132667665	0.016174097725993892	0.9720438013723504	0.20261562	null
"GO:0002161"	"aminoacyl-tRNA editing activity"	4	4.970895210319613	0.20412322497189886	0.8109207551075566	0.5283916	null
"GO:0003676"	"nucleic acid binding"	11	6.972410120534942	20.48386614107179	0.9662557782853402	0.20447749	null
"GO:0003677"	"DNA binding"	58	6.746203426753578	12.1676078310834	0.9573440332898296	0.45204771	null
"GO:0003684"	"damaged DNA binding"	2	5.176941643135783	0.32805042773721993	0.9695907264980989	0.40257377	null
"GO:0003690"	"double-stranded DNA binding"	1	6.215539485865457	3.5854285829222525	0.9610711338239845	0.57288986	null
"GO:0003697"	"single-stranded DNA binding"	2	5.256763433469915	0.39424199501667534	0.9690710009161805	0.41078824	null
"GO:0003700"	"DNA-binding transcription factor activity"	26	6.435402523670657	5.948455529733023	0.9888395903292746	0.60324022	null
"GO:0003723"	"RNA binding"	16	6.443305554056935	6.057692897451659	0.9610877585330948	0.51352104	null
"GO:0003725"	"double-stranded RNA binding"	1	4.785073454409892	0.1330663319392396	0.9692553691056432	0.47318845	null
"GO:0003729"	"mRNA binding"	2	5.701257910733925	1.0971320487170808	0.9628002071719588	0.58381718	null
"GO:0003735"	"structural constituent of ribosome"	35	5.987618454157255	2.1213867998801152	0.9977265367485046	-0	null
"GO:0003746"	"translation elongation factor activity"	6	5.118139017186992	0.28650853463045667	0.9402433408927701	0.24324714	null
"GO:0003743"	"translation initiation factor activity"	1	5.238440052916517	0.37795439485049903	0.9377544179736063	0.8450428	3746
"GO:0003747"	"translation release factor activity"	1	4.669660832034381	0.1020125008531782	0.9411970071749844	0.75819235	3746
"GO:0016149"	"translation release factor activity, codon specific"	1	4.465308479587306	0.06372288920548794	0.943160673009196	0.96583563	3746
"GO:0003755"	"peptidyl-prolyl cis-trans isomerase activity"	3	5.175424829790322	0.3269066723784587	0.8973219972091036	0.52563465	null
"GO:0003824"	"catalytic activity"	10	7.442996037341388	60.53379149902957	1	-0	null
"GO:0003825"	"alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity"	1	3.4872798164430687	0.006701009449230937	0.8869325595226326	0.52407605	null
"GO:0003841"	"1-acylglycerol-3-phosphate O-acyltransferase activity"	1	4.503600041761465	0.06959664048492782	0.8654279998021125	0.57195568	null
"GO:0003844"	"1,4-alpha-glucan branching enzyme activity"	1	4.0876749600367575	0.02670799727061555	0.8782929892569565	0.57104965	null
"GO:0003849"	"3-deoxy-7-phosphoheptulonate synthase activity"	1	4.1882251727052795	0.033666569949491194	0.8692311792948498	0.65676312	null
"GO:0003855"	"3-dehydroquinate dehydratase activity"	1	4.164501561309568	0.03187672377738391	0.8970201076841343	0.58684227	null
"GO:0003857"	"3-hydroxyacyl-CoA dehydrogenase activity"	1	4.295017011881458	0.04305234865688306	0.8740152610314972	0.65106029	null
"GO:0003861"	"3-isopropylmalate dehydratase activity"	1	4.314141203260571	0.044990621096921195	0.8947839920244024	0.60006579	null
"GO:0003879"	"ATP phosphoribosyltransferase activity"	1	4.017909395896689	0.022744142821168194	0.8782772441465229	0.62050507	null
"GO:0003883"	"CTP synthase activity"	1	4.155153777765149	0.031197891875523708	0.8870788594348527	0.54648085	null
"GO:0003887"	"DNA-directed DNA polymerase activity"	3	5.170000473264351	0.3228489601419374	0.7759475807667405	0.6834143	null
"GO:0003899"	"DNA-directed 5'-3' RNA polymerase activity"	4	5.102526317851885	0.27639153827958196	0.772868665429891	0.34722501	null
"GO:0003908"	"methylated-DNA-[protein]-cysteine S-methyltransferase activity"	1	4.204011395461484	0.03491291405226347	0.8533793821423568	0.67699883	null
"GO:0003871"	"5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity"	1	4.103906298088718	0.027725153753788714	0.8726772531464685	0.84052288	3908
"GO:0003938"	"IMP dehydrogenase activity"	2	4.232258962342701	0.03725935872911143	0.875144914523726	0.64319344	null
"GO:0003941"	"L-serine ammonia-lyase activity"	3	4.5679903942616775	0.08071987962280432	0.8940607981767349	0.03834454	null
"GO:0004794"	"threonine deaminase activity"	2	4.371806458507416	0.051379498835650496	0.8970788005418489	0.87725764	3941
"GO:0016841"	"ammonia-lyase activity"	1	4.857169605456588	0.15709610816939706	0.8898109196319124	0.85810814	3941
"GO:0036381"	"pyridoxal 5'-phosphate synthase (glutamine hydrolysing) activity"	1	3.8745977687032	0.01635089960397034	0.9045167017683334	0.73554107	3941
"GO:0044689"	"7,8-didemethyl-8-hydroxy-5-deazariboflavin synthase activity"	2	3.8000981801747757	0.013773084568288995	0.9049794127910631	0.8051293	3941
"GO:0003951"	"NAD+ kinase activity"	1	4.2646997921671455	0.04014930547529442	0.8643663595425914	0.46507097	null
"GO:0003954"	"NADH dehydrogenase activity"	4	5.039763001054312	0.23919984446673315	0.8739065667471803	0.38746286	null
"GO:0004129"	"cytochrome-c oxidase activity"	4	4.698274576674367	0.10896015983588246	0.833804678170646	0.85518364	3954
"GO:0008137"	"NADH dehydrogenase (ubiquinone) activity"	4	4.982732425961215	0.20976342315327112	0.8214027668283715	0.84439289	3954
"GO:0016655"	"oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor"	2	5.262906504093203	0.3998581830664706	0.8691501762932998	0.85058546	3954
"GO:0050136"	"NADH:ubiquinone reductase (non-electrogenic) activity"	4	4.6819463931246785	0.1049395541663439	0.8805726765213522	0.76234699	3954
"GO:0003962"	"cystathionine gamma-synthase activity"	1	4.041629508475138	0.024021045273220347	0.8718857847520513	0.5581599	null
"GO:0003977"	"UDP-N-acetylglucosamine diphosphorylase activity"	1	4.0853262624239886	0.026563936481153256	0.8660036106204071	0.56256621	null
"GO:0003984"	"acetolactate synthase activity"	2	4.60522960382277	0.08794692922749607	0.8835522876797954	0.23615979	null
"GO:0004801"	"transaldolase activity"	1	4.127137207191501	0.029248705739314186	0.8914226343731115	0.82825626	3984
"GO:0003989"	"acetyl-CoA carboxylase activity"	1	4.595782717574159	0.08605449431137775	0.8901507745111948	0.51427557	null
"GO:0003999"	"adenine phosphoribosyltransferase activity"	1	4.058919260718885	0.024996729710942245	0.8775830866625965	0.62406195	null
"GO:0004034"	"aldose 1-epimerase activity"	1	4.0790002523038495	0.026179774375920475	0.93271366650482	0.681174	null
"GO:0003978"	"UDP-glucose 4-epimerase activity"	1	4.311329952303793	0.044700316778762336	0.9304786623979039	0.78297318	4034
"GO:0004038"	"allantoinase activity"	1	4.206798900381547	0.03513773619339401	0.8984343504072058	0.53142812	null
"GO:0004044"	"amidophosphoribosyltransferase activity"	1	4.117933835039642	0.028635356014482298	0.8765701821488758	0.65895146	null
"GO:0004045"	"aminoacyl-tRNA hydrolase activity"	3	4.405004665050369	0.055461221203748814	0.8356108248428233	0.63438011	null
"GO:0004048"	"anthranilate phosphoribosyltransferase activity"	1	4.089127629044278	0.026797489579220915	0.8770666837811325	0.62670816	null
"GO:0004049"	"anthranilate synthase activity"	2	4.2900791521022015	0.04256559780763925	0.8943649542593349	0.4337948	null
"GO:0004419"	"hydroxymethylglutaryl-CoA lyase activity"	1	3.999782798454136	0.021814295907366117	0.8985835998623817	0.80499911	4049
"GO:0004055"	"argininosuccinate synthase activity"	1	4.069075809766398	0.02558825204343136	0.8884305176319023	0.53991905	null
"GO:0004058"	"aromatic-L-amino-acid decarboxylase activity"	1	3.2889196056617265	0.004243245071434834	0.9066975525296416	0.50838002	null
"GO:0004070"	"aspartate carbamoyltransferase activity"	1	4.074706756471867	0.025922211146275766	0.8749387685828052	0.58624021	null
"GO:0004074"	"biliverdin reductase [NAD(P)+] activity"	1	3.756179516843809	0.012448161853082746	0.8862010657408437	0.64498087	null
"GO:0004081"	"bis(5'-nucleosyl)-tetraphosphatase (asymmetrical) activity"	2	3.891147030448771	0.016986076721145	0.9192005084834334	0.45092411	null
"GO:0004087"	"carbamoyl-phosphate synthase (ammonia) activity"	1	3.8721562727482928	0.0162592245561307	0.8914049020541558	0.52548402	null
"GO:0004123"	"cystathionine gamma-lyase activity"	1	3.2081725266671217	0.0035229411241233656	0.915331490174111	0.64663059	null
"GO:0004124"	"cysteine synthase activity"	1	4.325884943968999	0.0462238687642878	0.8529251840223641	0.67198246	null
"GO:0004135"	"amylo-alpha-1,6-glucosidase activity"	1	3.5645477117559476	0.00800628751132869	0.919818825044755	0.56673012	null
"GO:0004140"	"dephospho-CoA kinase activity"	1	4.163071882003819	0.0317719522941386	0.8663347012268047	0.45659342	null
"GO:0004143"	"ATP-dependent diacylglycerol kinase activity"	1	4.3167249841904995	0.04525909802273729	0.863335975514667	0.46953374	null
