TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
"GO:0000028"	"ribosomal small subunit assembly"	47	4.884092676933343	0.1884781016628359	0.9377622597208578	0.59547831	null
"GO:0000027"	"ribosomal large subunit assembly"	4	5.042996609308023	0.27174813310071255	0.9364397405434349	0.86065111	28
"GO:0000455"	"enzyme-directed rRNA pseudouridine synthesis"	14	4.625816434004728	0.10398723916489053	0.7477708649960749	0.7342355	28
"GO:0006364"	"rRNA processing"	40	5.790004224727385	1.5176702250774354	0.7025055732757646	0.7069936	28
"GO:0030490"	"maturation of SSU-rRNA"	2	5.073714685398322	0.2916654011210281	0.7381614862738456	0.84304094	28
"GO:0031119"	"tRNA pseudouridine synthesis"	5	4.48753429415712	0.075629991900672	0.7698980525182243	0.83556431	28
"GO:0042254"	"ribosome biogenesis"	4	5.965342835560622	2.27256471155331	0.9365295678705537	0.8843483	28
"GO:0042256"	"cytosolic ribosome assembly"	2	4.347583686308583	0.05479463923236112	0.9455757936048954	0.76066427	28
"GO:0042274"	"ribosomal small subunit biogenesis"	20	5.378566861327505	0.5884897980120243	0.9430533693421776	0.79333234	28
"GO:1990481"	"mRNA pseudouridine synthesis"	2	4.3048565939970285	0.04966025699182994	0.8437843980016967	0.81128486	28
"GO:0000052"	"citrulline metabolic process"	8	4.242591115900052	0.04302691080859333	0.7427900028253054	0.64083452	null
"GO:0000103"	"sulfate assimilation"	19	4.645127399258391	0.10871549816971335	0.8671169147385724	0.65967361	null
"GO:0000160"	"phosphorelay signal transduction system"	2291	5.924751582914166	2.069783687934709	0.9078748874035947	-0	null
"GO:0000255"	"allantoin metabolic process"	1	4.063746061613443	0.028502467087896045	0.9270755110443121	0.48817638	null
"GO:0000271"	"polysaccharide biosynthetic process"	404	5.492254581401757	0.7645872943681143	0.7662143299691231	0.31253891	null
"GO:0000272"	"polysaccharide catabolic process"	368	5.421692750748088	0.6499276288393968	0.7651779138433089	0.83488301	271
"GO:0005978"	"glycogen biosynthetic process"	37	4.5430617980146195	0.08594552208766443	0.782340526674042	0.75430437	271
"GO:0005980"	"glycogen catabolic process"	8	4.3327211642891275	0.052951085877539515	0.7662910613778875	0.87684863	271
"GO:0009103"	"lipopolysaccharide biosynthetic process"	274	4.98664187423491	0.2386773949493333	0.6869204379219177	0.8030062	271
"GO:0009244"	"lipopolysaccharide core region biosynthetic process"	27	4.394766780226321	0.06108339600348154	0.7111082457221164	0.89285401	271
"GO:0009250"	"glucan biosynthetic process"	3	4.911104317804036	0.20057319002811405	0.7863915074550366	0.85911119	271
"GO:0009251"	"glucan catabolic process"	36	5.031852631395629	0.2648637289172198	0.7778797370359698	0.821113	271
"GO:0010411"	"xyloglucan metabolic process"	22	4.2133849249163875	0.04022835251162116	0.8655235876780977	0.87323855	271
"GO:0016998"	"cell wall macromolecule catabolic process"	60	4.723824952641037	0.1303138702505672	0.8212113600781293	0.86034887	271
"GO:0030245"	"cellulose catabolic process"	151	4.667013766583133	0.11433476694015086	0.7901363425964391	0.71032273	271
"GO:0030979"	"alpha-glucan biosynthetic process"	9	3.690727543870367	0.012072936188784984	0.8212497608748296	0.92060422	271
"GO:0030980"	"alpha-glucan catabolic process"	23	3.4260230156898763	0.0065619669478696775	0.823303809584773	0.72146769	271
"GO:0045490"	"pectin catabolic process"	40	4.587475237383664	0.09520020915592774	0.794073625105698	0.72877855	271
"GO:0045493"	"xylan catabolic process"	100	4.5067349717157965	0.0790488111394533	0.7845418085657061	0.71904258	271
"GO:0071966"	"fungal-type cell wall polysaccharide metabolic process"	8	4.096075366085106	0.030705377972495958	0.8695410343760601	0.81781183	271
"GO:0000716"	"transcription-coupled nucleotide-excision repair, DNA damage recognition"	1	3.9451730461739003	0.02169190349271398	0.8075425910108134	0.50221501	null
"GO:0000731"	"DNA synthesis involved in DNA repair"	23	4.816035707382992	0.1611398545173038	0.7397377721874823	0.56732931	null
"GO:0042276"	"error-prone translesion synthesis"	7	4.473107252633461	0.07315879354521021	0.7534076638217667	0.70751272	731
"GO:0000902"	"cell morphogenesis"	18	5.360402160724579	0.5643833072815533	0.9987828137992785	0.68061426	null
"GO:0000917"	"division septum assembly"	129	4.592731766393962	0.09635950639240434	0.9455077018084247	0.3155496	null
"GO:0043093"	"FtsZ-dependent cytokinesis"	32	4.611468390479829	0.1006078015732082	0.9789547940880111	0.82217502	917
"GO:0090529"	"cell septum assembly"	28	4.649879819144556	0.10991171570034525	0.9449994135911889	0.93014925	917
"GO:0000949"	"aromatic amino acid family catabolic process to alcohol via Ehrlich pathway"	15	3.692935002531138	0.01213447001237716	0.6758659140517649	0.65597802	null
"GO:0001508"	"action potential"	20	4.398599635095352	0.06162489365109269	0.9724486180367408	0.54744578	null
"GO:0030322"	"stabilization of membrane potential"	1	4.298809426529585	0.048973539520541245	0.9728759624953437	0.73665767	1508
"GO:0001514"	"selenocysteine incorporation"	10	3.985695859689842	0.023813589730172214	0.8107776176493418	0.6414207	null
"GO:0001522"	"pseudouridine synthesis"	5	5.051465101959226	0.27709911440028817	0.8272473360674769	0.57920809	null
"GO:0001561"	"fatty acid alpha-oxidation"	4	3.7649229846498886	0.014322612779314948	0.6960071557717361	0.59025716	null
"GO:0001666"	"response to hypoxia"	28	4.481442628502305	0.07457653284077395	0.9479719764629728	0.67516644	null
"GO:0071453"	"cellular response to oxygen levels"	2	4.062243441026478	0.028404012970148565	0.9344261356187809	0.90935915	1666
"GO:0001717"	"conversion of seryl-tRNAsec to selenocys-tRNAsec"	4	3.0835026198302673	0.0029806984148050184	0.8113675057574234	0.47725123	null
