TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
"GO:0000030"	"mannosyltransferase activity"	20	4.90023053658681	0.17347101790494446	0.8713903989470547	0.66691064	null
"GO:0000034"	"adenine deaminase activity"	9	3.8596785766284483	0.015798666577698215	0.8939542998921799	0.67193135	null
"GO:0000035"	"acyl binding"	26	4.1702617153949575	0.03230235792806796	0.9907333308256313	0.09002279	null
"GO:0000036"	"acyl carrier activity"	63	4.310332135002271	0.0445977280347513	0.9720634997169743	0.03972846	null
"GO:0005344"	"oxygen carrier activity"	48	4.349898891403912	0.04885188680235753	0.9693594235496261	0.74577156	36
"GO:0016530"	"metallochaperone activity"	22	4.464415022426169	0.06359192485143131	0.9962000677388496	0.76342988	36
"GO:0032977"	"membrane insertase activity"	19	4.2424668862353405	0.03814555085822796	0.9676829757243869	0.73393511	36
"GO:0097163"	"sulfur carrier activity"	5	3.937116510767054	0.018882877115731868	0.9964278972540147	0.70225482	36
"GO:0140663"	"ATP-dependent FeS chaperone activity"	2	4.230039981157942	0.03706946041572932	0.9800169120091814	0.73259015	36
"GO:0000049"	"tRNA binding"	73	5.5256821686263855	0.7322893684468847	0.9819057706190075	0.55878171	null
"GO:0000104"	"succinate dehydrogenase activity"	4	4.396582891683383	0.054396044457421557	0.8678408197041405	0.69125205	null
"GO:0000107"	"imidazoleglycerol-phosphate synthase activity"	6	4.29525913648168	0.04307635878846011	0.8815407507510701	0.68066898	null
"GO:0000150"	"DNA strand exchange activity"	267	4.56908115970042	0.08092287437159211	0.9044495903138376	0.52711612	null
"GO:0000156"	"phosphorelay response regulator activity"	325	5.21988303380143	0.36214481457662945	0.9885402666828926	0.1876236	null
"GO:0000179"	"rRNA (adenine-N6,N6-)-dimethyltransferase activity"	30	4.263399331334003	0.04002925481740917	0.8282664753346686	0.63939058	null
"GO:0008649"	"rRNA methyltransferase activity"	2	5.143002302391336	0.3033898398683564	0.8060067701703627	0.84379224	179
"GO:0052908"	"16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase activity"	3	3.882695262381597	0.016658665836003426	0.8367848208239649	0.85833696	179
"GO:0070040"	"rRNA (adenine(2503)-C2-)-methyltransferase activity"	1	3.9409644934927996	0.01905094803677121	0.8353991010560875	0.86536461	179
"GO:0070677"	"rRNA (cytosine-2'-O-)-methyltransferase activity"	2	3.9340942683554805	0.01875191276167524	0.8357376444434979	0.89143952	179
"GO:0071424"	"rRNA (cytosine-N4-)-methyltransferase activity"	2	4.038302172199525	0.02383769517754106	0.8336136400167578	0.71516567	179
"GO:0000215"	"tRNA 2'-phosphotransferase activity"	5	3.6262376851469003	0.009228621482523909	0.8454242230287345	0.43991179	null
"GO:0000224"	"peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity"	30	4.073645045513152	0.02585891170848173	0.8923470848064525	0.61024324	null
"GO:0000257"	"nitrilase activity"	10	3.7535830588929064	0.012373948719117322	0.8994314219218675	0.48281302	null
"GO:0000286"	"alanine dehydrogenase activity"	10	3.905202028662319	0.017544857965119957	0.880440360459239	0.68702748	null
"GO:0000287"	"magnesium ion binding"	1227	5.90029337427456	1.734980838714495	0.9836455173269075	0.3313639	null
"GO:0000334"	"3-hydroxyanthranilate 3,4-dioxygenase activity"	3	3.490379920003179	0.006749029712385035	0.8798239007525431	0.66498769	null
"GO:0000403"	"Y-form DNA binding"	2	3.2043913319193	0.003492382774843485	0.9885974861412962	0.26941987	null
"GO:0000400"	"four-way junction DNA binding"	2	4.478436620683433	0.06567862355940028	0.9862438718062282	0.79708188	403
"GO:0000721"	"(R,R)-butanediol dehydrogenase activity"	2	3.3267453795653217	0.004629589915901894	0.8780196581359627	0.54769319	null
"GO:0000774"	"adenyl-nucleotide exchange factor activity"	29	4.376047452041466	0.05188371159876853	0.9925747987545396	0.4474225	null
"GO:0000906"	"6,7-dimethyl-8-ribityllumazine synthase activity"	1	4.0317315399458264	0.023479725943119607	0.8892581558773645	0.6402775	null
"GO:0000908"	"taurine dioxygenase activity"	15	3.308350948586726	0.004437508863285503	0.8755591413938602	0.51071012	null
"GO:0000976"	"transcription cis-regulatory region binding"	3743	6.153311705691067	3.1067997063691872	0.980699038006106	-0	null
