,estimated_frequency
Strep_C0,0.007142857142857143
Strep_C100000,0.007142857142857143
Strep_C100001,0.014285714285714285
Strep_C100002,0.014285714285714285
Strep_C100003,0.007142857142857143
Strep_C100004,0.02142857142857143
Strep_C100005,0.007142857142857143
Strep_C100006,0.007142857142857143
Strep_C100007,0.02142857142857143
Strep_C100008,0.007142857142857143
Strep_C100009,0.02142857142857143
Strep_C10000,0.007142857142857143
Strep_C100010,0.02142857142857143
Strep_C100011,0.007142857142857143
Strep_C100012,0.007142857142857143
Strep_C100013,0.007142857142857143
Strep_C100014,0.014285714285714285
Strep_C100015,0.007142857142857143
Strep_C100016,0.03571428571428571
Strep_C100017,0.02142857142857143
Strep_C100018,0.014285714285714285
Strep_C100019,0.007142857142857143
Strep_C10001,0.007142857142857143
Strep_C100020,0.007142857142857143
Strep_C100021,0.007142857142857143
Strep_C100022,0.04285714285714286
Strep_C100023,0.007142857142857143
Strep_C100024,0.007142857142857143
Strep_C100025,0.007142857142857143
Strep_C100026,0.014285714285714285
Strep_C100027,0.007142857142857143
Strep_C100028,0.04285714285714286
Strep_C100029,0.02142857142857143
Strep_C10002,0.014285714285714285
Strep_C100030,0.1381031248626651
Strep_C100031,0.007142857142857143
Strep_C100032,0.007142857142857143
Strep_C100033,0.007142857142857143
Strep_C100034,0.007142857142857143
Strep_C100035,0.014285714285714285
Strep_C100036,0.007142857142857143
Strep_C100037,0.20118691984195686
Strep_C100038,0.3019264928520479
Strep_C100039,0.007142857142857143
Strep_C10003,0.007142857142857143
Strep_C100040,0.007142857142857143
Strep_C100041,0.007142857142857143
Strep_C100042,0.1381115224480822
Strep_C100043,0.007142857142857143
Strep_C100044,0.007142857142857143
Strep_C100045,0.007142857142857143
Strep_C100046,0.02142857142857143
Strep_C100047,0.007142857142857143
Strep_C100048,0.007142857142857143
Strep_C100049,0.007142857142857143
Strep_C10004,0.03571428571428571
Strep_C100050,0.09285714285714286
Strep_C100051,0.007142857142857143
Strep_C100052,0.007142857142857143
Strep_C100053,0.02857142857142857
Strep_C100054,0.007142857142857143
Strep_C100055,0.007142857142857143
Strep_C100056,0.007142857142857143
Strep_C100057,0.007142857142857143
Strep_C100058,0.02857142857142857
Strep_C100059,0.007142857142857143
Strep_C10005,0.03571428571428571
Strep_C100060,0.007142857142857143
Strep_C100061,0.007142857142857143
Strep_C100062,0.014285714285714285
Strep_C100063,0.007142857142857143
Strep_C100064,0.014285714285714285
Strep_C100065,0.007142857142857143
Strep_C100066,0.06428571428571428
Strep_C100067,0.007142857142857143
Strep_C100068,0.02857142857142857
Strep_C100069,0.007142857142857143
Strep_C10006,0.007142857142857143
Strep_C100070,0.014285714285714285
Strep_C100071,0.007142857142857143
Strep_C100072,0.007142857142857143
Strep_C100073,0.007142857142857143
Strep_C100074,0.007142857142857143
Strep_C100075,0.007142857142857143
Strep_C100076,0.007142857142857143
Strep_C100077,0.007142857142857143
Strep_C100078,0.31293991301455154
Strep_C100079,0.014285714285714285
Strep_C10007,0.007142857142857143
Strep_C100080,0.007142857142857143
Strep_C100081,0.007142857142857143
Strep_C100082,0.02857142857142857
Strep_C100083,0.014285714285714285
Strep_C100084,0.03571428571428571
Strep_C100085,0.06428571428571428
Strep_C100086,0.007142857142857143
Strep_C100087,0.14498582978008762
Strep_C100088,0.007142857142857143
Strep_C100089,0.007142857142857143
Strep_C10008,0.007142857142857143
Strep_C100090,0.03571428571428571
Strep_C100091,0.02142857142857143
Strep_C100092,0.145781702443242
Strep_C100093,0.007142857142857143
Strep_C100094,0.007142857142857143
Strep_C100095,0.48688803280323434
Strep_C100096,0.37641985569491054
Strep_C100097,0.13024961919089825
Strep_C100098,0.007142857142857143
Strep_C100099,0.007142857142857143
Strep_C10009,0.07142857142857142
Strep_C1000,0.014285714285714285
Strep_C100100,0.007142857142857143
Strep_C100101,0.12382270513012096
Strep_C100102,0.007142857142857143
Strep_C100103,0.014285714285714285
Strep_C100104,0.05
Strep_C100105,0.007142857142857143
Strep_C100106,0.02142857142857143
Strep_C100107,0.13024176148202338
Strep_C100108,0.007142857142857143
Strep_C100109,0.007142857142857143
Strep_C10010,0.007142857142857143
Strep_C100110,0.007142857142857143
Strep_C100111,0.014285714285714285
Strep_C100112,0.014285714285714285
Strep_C100113,0.014285714285714285
Strep_C100114,0.007142857142857143
Strep_C100115,0.04285714285714286
Strep_C100116,0.007142857142857143
Strep_C100117,0.07142857142857142
Strep_C100118,0.03571428571428571
Strep_C100119,0.007142857142857143
Strep_C10011,0.007142857142857143
Strep_C100120,0.02142857142857143
Strep_C100121,0.007142857142857143
Strep_C100122,0.007142857142857143
Strep_C100123,0.007142857142857143
Strep_C100124,0.014285714285714285
Strep_C100125,0.014285714285714285
Strep_C100126,0.007142857142857143
Strep_C100127,0.014285714285714285
Strep_C100128,0.007142857142857143
Strep_C100129,0.007142857142857143
Strep_C10012,0.007142857142857143
Strep_C100130,0.03571428571428571
Strep_C100131,0.02857142857142857
Strep_C100132,0.014285714285714285
Strep_C100133,0.02857142857142857
Strep_C100134,0.007142857142857143
Strep_C100135,0.007142857142857143
Strep_C100136,0.014285714285714285
Strep_C100137,0.007142857142857143
Strep_C100138,0.007142857142857143
Strep_C100139,0.007142857142857143
Strep_C10013,0.05714285714285714
Strep_C100140,0.007142857142857143
Strep_C100141,0.007142857142857143
Strep_C100142,0.007142857142857143
Strep_C100143,0.1271436424981232
Strep_C100144,0.05
Strep_C100145,0.007142857142857143
Strep_C100146,0.13075115850659905
Strep_C100147,0.007142857142857143
Strep_C100148,0.007142857142857143
Strep_C100149,0.02142857142857143
Strep_C10014,0.15884538853254418
Strep_C100150,0.007142857142857143
Strep_C100151,0.007142857142857143
Strep_C100152,0.007142857142857143
Strep_C100153,0.007142857142857143
Strep_C100154,0.007142857142857143
Strep_C100155,0.014285714285714285
Strep_C100156,0.02142857142857143
Strep_C100157,0.007142857142857143
Strep_C100158,0.014285714285714285
Strep_C100159,0.02142857142857143
Strep_C10015,0.04285714285714286
Strep_C100160,0.007142857142857143
Strep_C100161,0.007142857142857143
Strep_C100162,0.007142857142857143
Strep_C100163,0.014285714285714285
Strep_C100164,0.2046388216646527
Strep_C100165,0.007142857142857143
Strep_C100166,0.007142857142857143
Strep_C100167,0.014285714285714285
Strep_C100168,0.007142857142857143
Strep_C100169,0.007142857142857143
Strep_C10016,0.007142857142857143
Strep_C100170,0.007142857142857143
Strep_C100171,0.007142857142857143
Strep_C100172,0.007142857142857143
Strep_C100173,0.28056247505084936
Strep_C100174,0.007142857142857143
Strep_C100175,0.014285714285714285
Strep_C100176,0.05714285714285714
Strep_C100177,0.007142857142857143
Strep_C100178,0.02142857142857143
Strep_C100179,0.007142857142857143
Strep_C10017,0.02857142857142857
Strep_C100180,0.007142857142857143
Strep_C100181,0.007142857142857143
Strep_C100182,0.02142857142857143
Strep_C100183,0.007142857142857143
Strep_C100184,0.07857142857142857
Strep_C100185,0.007142857142857143
Strep_C100186,0.007142857142857143
Strep_C100187,0.007142857142857143
Strep_C100188,0.007142857142857143
Strep_C100189,0.014285714285714285
Strep_C10018,0.007142857142857143
Strep_C100190,0.014285714285714285
Strep_C100191,0.007142857142857143
Strep_C100192,0.014285714285714285
Strep_C100193,0.007142857142857143
Strep_C100194,0.007142857142857143
Strep_C100195,0.03571428571428571
Strep_C100196,0.26080390615043986
Strep_C100197,0.007142857142857143
Strep_C100198,0.007142857142857143
Strep_C100199,0.007142857142857143
Strep_C10019,0.007142857142857143
Strep_C1001,0.007142857142857143
Strep_C100200,0.014285714285714285
Strep_C100201,0.007142857142857143
Strep_C100202,0.007142857142857143
Strep_C100203,0.007142857142857143
Strep_C100204,0.007142857142857143
Strep_C100205,0.007142857142857143
Strep_C100206,0.014285714285714285
Strep_C100207,0.007142857142857143
Strep_C100208,0.007142857142857143
Strep_C100209,0.007142857142857143
Strep_C10020,0.014285714285714285
Strep_C100210,0.007142857142857143
Strep_C100211,0.007142857142857143
Strep_C100212,0.007142857142857143
Strep_C100213,0.007142857142857143
Strep_C100214,0.007142857142857143
Strep_C100215,0.007142857142857143
Strep_C100216,0.007142857142857143
Strep_C100217,0.007142857142857143
Strep_C100218,0.03571428571428571
Strep_C100219,0.007142857142857143
Strep_C10021,0.007142857142857143
Strep_C100220,0.07857142857142857
Strep_C100221,0.02142857142857143
Strep_C100222,0.014285714285714285
Strep_C100223,0.007142857142857143
Strep_C100224,0.007142857142857143
Strep_C100225,0.04285714285714286
Strep_C100226,0.007142857142857143
Strep_C100227,0.007142857142857143
Strep_C100228,0.007142857142857143
Strep_C100229,0.007142857142857143
Strep_C10022,0.007142857142857143
Strep_C100230,0.007142857142857143
Strep_C100231,0.007142857142857143
Strep_C100232,0.02857142857142857
Strep_C100233,0.02142857142857143
Strep_C100234,0.03571428571428571
Strep_C100235,0.007142857142857143
Strep_C100236,0.007142857142857143
Strep_C100237,0.05
Strep_C100238,0.02142857142857143
Strep_C100239,0.007142857142857143
Strep_C10023,0.007142857142857143
Strep_C100240,0.007142857142857143
Strep_C100241,0.007142857142857143
Strep_C100242,0.007142857142857143
Strep_C100243,0.007142857142857143
Strep_C100244,0.007142857142857143
Strep_C100245,0.3997486177456689
Strep_C100246,0.02857142857142857
Strep_C100247,0.007142857142857143
Strep_C100248,0.007142857142857143
Strep_C100249,0.007142857142857143
Strep_C10024,0.007142857142857143
Strep_C100250,0.007142857142857143
Strep_C100251,0.007142857142857143
Strep_C100252,0.007142857142857143
Strep_C100253,0.007142857142857143
Strep_C100254,0.007142857142857143
Strep_C100255,0.014285714285714285
Strep_C100256,0.007142857142857143
Strep_C100257,0.007142857142857143
Strep_C100258,0.007142857142857143
Strep_C100259,0.007142857142857143
Strep_C10025,0.007142857142857143
Strep_C100260,0.02857142857142857
Strep_C100261,0.014285714285714285
Strep_C100262,0.007142857142857143
Strep_C100263,0.014285714285714285
Strep_C100264,0.007142857142857143
Strep_C100265,0.007142857142857143
Strep_C100266,0.007142857142857143
Strep_C100267,0.007142857142857143
Strep_C100268,0.007142857142857143
Strep_C100269,0.04285714285714286
Strep_C10026,0.007142857142857143
Strep_C100270,0.007142857142857143
Strep_C100271,0.06428571428571428
Strep_C100272,0.07857142857142857
Strep_C100273,0.08571428571428572
Strep_C100274,0.02142857142857143
Strep_C100275,0.03571428571428571
Strep_C100276,0.05714285714285714
Strep_C100277,0.007142857142857143
Strep_C100278,0.014285714285714285
Strep_C100279,0.35517888237059714
Strep_C10027,0.05714285714285714
Strep_C100280,0.23782060134478575
Strep_C100281,0.04285714285714286
Strep_C100282,0.007142857142857143
Strep_C100283,0.007142857142857143
