cluster	strains_with_incomplete_cluster
ATP binding	47
metal ion binding	46
DNA binding	40
magnesium ion binding	35
ATP hydrolysis activity	35
4 iron, 4 sulfur cluster binding	35
hydrolase activity	32
pyridoxal phosphate binding	29
GTP binding	29
DNA-binding transcription factor activity	28
flavin adenine dinucleotide binding	28
acyltransferase activity, transferring groups other than amino-acyl groups	27
monooxygenase activity	27
oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	27
zinc ion binding	25
proline dehydrogenase activity	25
metalloaminopeptidase activity	23
peptidase activity	23
catalytic activity	22
lyase activity	21
acyltransferase activity	21
oxidoreductase activity	20
FMN binding	20
riboflavin reductase (NADPH) activity	20
transaminase activity	20
phosphorelay response regulator activity	20
heme binding	19
NADP binding	19
lipid-linked peptidoglycan transporter activity	19
mechanosensitive monoatomic ion channel activity	19
identical protein binding	18
glutamate synthase activity	18
amidophosphoribosyltransferase activity	18
L-threonine 3-dehydrogenase activity	17
glucosamine-6-phosphate deaminase activity	17
NADH:ubiquinone reductase (non-electrogenic) activity	17
ABC-type transporter activity	17
transcription cis-regulatory region binding	16
sulfate adenylyltransferase (ATP) activity	16
peptidoglycan L,D-transpeptidase activity	16
isomerase activity	15
steroid dehydrogenase activity, acting on the CH-CH group of donors	15
manganese ion binding	15
RNA binding	15
metallopeptidase activity	15
glycosyltransferase activity	14
oxidoreductase activity, acting on the CH-CH group of donors	14
structural constituent of ribosome	14
enoyl-CoA hydratase activity	14
threonine-type endopeptidase activity	14
valine-pyruvate transaminase activity	14
deaminase activity	13
crotonyl-CoA reductase activity	13
cobinamide phosphate guanylyltransferase activity	13
adenosylcobinamide kinase activity	13
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds	13
quinone binding	12
iron ion binding	12
anthranilate synthase activity	12
ribosome binding	12
transferase activity	12
oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor	12
intramolecular phosphotransferase activity	11
cobalt ion transmembrane transporter activity	11
leukotriene C4 gamma-glutamyl transferase activity	11
ABC-type oligopeptide transporter activity	11
four-way junction helicase activity	11
diaminobutyrate-pyruvate transaminase activity	11
diaminobutyrate-2-oxoglutarate transaminase activity	11
succinate-CoA ligase (GDP-forming) activity	10
cobalt ion binding	10
magnesium ion transmembrane transporter activity	10
glycerophosphodiester phosphodiesterase activity	10
transmembrane transporter activity	10
phosphatase activity	10
3'-tRNA processing endoribonuclease activity	10
tRNA pseudouridine(55) synthase activity	10
NAD+ binding	9
prephenate dehydratase activity	9
acyl-CoA dehydrogenase activity	9
fructose-bisphosphate aldolase activity	9
oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	9
nucleic acid binding	9
RNA ligase (GTP) activity	9
tryptophan 2,3-dioxygenase activity	9
dCMP kinase activity	8
ATP-dependent peptidase activity	8
oxidoreductase activity, acting on CH-OH group of donors	8
coenzyme F420 binding	8
oxidoreductase activity, acting on NAD(P)H	8
ferric-chelate reductase (NADPH) activity	8
L-serine ammonia-lyase activity	8
carbohydrate derivative binding	8
3-oxoacyl-[acyl-carrier-protein] synthase activity	8
rRNA binding	8
urate oxidase activity	8
tRNA binding	7
long-chain-3-hydroxyacyl-CoA dehydrogenase activity	7
kinase activity	7
methyltransferase activity	7
hydrolase activity, hydrolyzing O-glycosyl compounds	7
fructose 1,6-bisphosphate 1-phosphatase activity	7
beta-ketoacyl-acyl-carrier-protein synthase III activity	7
glutamate racemase activity	6
3'-5' exonuclease activity	6
cysteine desulfurase activity	6
ABC-type putrescine transporter activity	6
sulfur carrier activity	6
