cluster	strains_with_incomplete_cluster
metal ion binding	21
ATP binding	18
methyltransferase activity	17
DNA binding	16
4 iron, 4 sulfur cluster binding	15
magnesium ion binding	13
ATP hydrolysis activity	13
hydrolase activity	11
zinc ion binding	10
transferase activity	10
catalytic activity	9
iron ion binding	9
phosphorelay sensor kinase activity	9
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides	9
GTP binding	9
ligase activity	7
3'-5' exonuclease activity	7
heme binding	7
DNA-binding transcription factor activity	7
metallopeptidase activity	7
transcription cis-regulatory region binding	6
nucleic acid binding	6
sodium:proton antiporter activity	6
RNA binding	6
hydrolase activity, hydrolyzing O-glycosyl compounds	6
stearoyl-[ACP] desaturase activity	6
arginine deiminase activity	6
pyridoxal phosphate binding	6
structural constituent of ribosome	5
lyase activity	5
cobaltochelatase activity	5
electron transfer activity	5
RNA ligase (GTP) activity	5
metalloaminopeptidase activity	5
serine-type endopeptidase activity	5
oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor	5
glycosyltransferase activity	4
P-type divalent copper transporter activity	4
proton-transporting ATP synthase activity, rotational mechanism	4
phosphatase activity	4
undecaprenyl-diphosphatase activity	4
phenylacetate-CoA ligase activity	4
magnesium ion transmembrane transporter activity	4
NAD+ binding	4
2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase activity	4
cation binding	4
1,4-alpha-glucan branching enzyme activity	4
tRNA binding	4
translation elongation factor activity	4
excinuclease ABC activity	4
cysteine-type peptidase activity	3
oxidoreductase activity	3
FAD binding	3
3-hydroxyacyl-CoA dehydrogenase activity	3
amylo-alpha-1,6-glucosidase activity	3
phosphoribosylglycinamide formyltransferase activity	3
urate oxidase activity	3
acyltransferase activity, transferring groups other than amino-acyl groups	3
3'-5' DNA helicase activity	3
four-way junction DNA binding	3
phosphate transmembrane transporter activity	3
thiamine binding	3
manganese ion binding	3
DNA negative supercoiling activity	3
bacterial-type RNA polymerase core enzyme binding	2
cobalt ion binding	2
methylmalonyl-CoA mutase activity	2
nuclease activity	2
acid-amino acid ligase activity	2
hydrolase activity, acting on ester bonds	2
corrinoid adenosyltransferase activity	2
precorrin-6A synthase (deacetylating) activity	2
oxidoreductase activity, acting on the CH-CH group of donors	2
coenzyme F420 binding	2
quinone binding	2
NADH dehydrogenase activity	2
ligase activity, forming carbon-nitrogen bonds	2
orotidine-5'-phosphate decarboxylase activity	2
tryptophan 2,3-dioxygenase activity	2
protein homodimerization activity	2
fumarate hydratase activity	2
ectoine binding	2
nicotinate-nucleotide diphosphorylase (carboxylating) activity	2
steroid dehydrogenase activity, acting on the CH-CH group of donors	2
isomerase activity	2
phosphopentomutase activity	2
peptidase activity	2
NADPH binding	2
1-deoxy-D-xylulose-5-phosphate reductoisomerase activity	2
phosphotransferase activity, for other substituted phosphate groups	2
oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor	2
ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor	2
N-acyltransferase activity	2
FMN binding	2
NADP binding	2
anti-sigma factor antagonist activity	2
phospho-N-acetylmuramoyl-pentapeptide-transferase activity	2
ATP-dependent peptidase activity	2
L-serine ammonia-lyase activity	2
ribosome binding	2
transmembrane transporter activity	2
tRNA (adenine(58)-N1)-methyltransferase activity	2
helicase activity	2
DNA-directed DNA polymerase activity	2
peptidyl-prolyl cis-trans isomerase activity	2
threonine-type endopeptidase activity	2
uracil phosphoribosyltransferase activity	1
phosphoribosyl-ATP diphosphatase activity	1
phosphatidylinositol alpha-mannosyltransferase activity	1
glycolipid 1,6-alpha-mannosyltransferase activity	1
anthranilate synthase activity	1
nucleoside triphosphate diphosphatase activity	1
protein-L-isoaspartate (D-aspartate) O-methyltransferase activity	1
malate synthase activity	1
dihydroxy-acid dehydratase activity	1
sulfurtransferase activity	1
L-malate dehydrogenase (NAD+) activity	1
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines	1
large ribosomal subunit rRNA binding	1
L-lysine 6-monooxygenase (NADPH) activity	1
glutamate 5-kinase activity	1
5S rRNA binding	1
single-stranded DNA binding	1
N-acetylglucosamine-6-phosphate deacetylase activity	1
uroporphyrinogen decarboxylase activity	1
D-alanine-D-alanine ligase activity	1
flavin adenine dinucleotide binding	1
tRNA-specific adenosine-34 deaminase activity	1
molybdate ion binding	1
identical protein binding	1
antimonite transmembrane transporter activity	1
arsenite transmembrane transporter activity	1
dihydroorotate dehydrogenase (quinone) activity	1
glutaminase activity	1
shikimate 3-dehydrogenase (NADP+) activity	1
carbon-nitrogen ligase activity on lipid II	1
