,estimated_frequency
Strep_C0,0.11136757272179186
Strep_C10000,0.11136757272179186
Strep_C10001,0.99999999
Strep_C10002,0.11136757272179186
Strep_C10003,0.334259100712907
Strep_C10004,0.333266628208235
Strep_C10005,0.8889131171654778
Strep_C10006,0.11136757272179186
Strep_C10007,0.11136757272179186
Strep_C10008,0.11136757272179186
Strep_C10009,0.351325490499599
Strep_C1000,0.8673259655154397
Strep_C10010,0.351325490499599
Strep_C10011,0.23305302815717163
Strep_C10012,0.7778688864057204
Strep_C10013,0.4712762061295706
Strep_C10014,0.5936452796634148
Strep_C10015,0.23305302815717163
Strep_C10016,0.23305302815717163
Strep_C10017,0.2337017810381666
Strep_C10018,0.35245843672205746
Strep_C10019,0.2337017810381666
Strep_C1001,0.11136757272179186
Strep_C10020,0.2337017810381666
Strep_C10021,0.3524582818100281
Strep_C10022,0.11634201451864289
Strep_C10023,0.11634201451864289
Strep_C10024,0.5936452796634148
Strep_C10025,0.11634201451864289
Strep_C10026,0.11634201451864289
Strep_C10027,0.7198634438443039
Strep_C10028,0.23370228693111114
Strep_C10029,0.23370228693111114
Strep_C1002,0.11136757272179186
Strep_C10030,0.44444957634747156
Strep_C10031,0.1163415109155265
Strep_C10032,0.23370228693111114
Strep_C10033,0.1163415109155265
Strep_C10034,0.1163415109155265
Strep_C10035,0.99999999
Strep_C10036,0.99999999
Strep_C10037,0.8524331858472348
Strep_C10038,0.99999999
Strep_C10039,0.23370178103816636
Strep_C1003,0.351325490499599
Strep_C10040,0.47311651524910325
Strep_C10041,0.99999999
Strep_C10042,0.35245843672205746
Strep_C10043,0.47311830745470035
Strep_C10044,0.5936452796634148
Strep_C10045,0.99999999
Strep_C10046,0.8889223478224411
Strep_C10047,0.11634201451864289
Strep_C10048,0.23370178103816636
Strep_C10049,0.7778688864057204
Strep_C1004,0.35245843672205746
Strep_C10050,0.7256406595528874
Strep_C10051,0.5967214293920762
Strep_C10052,0.99999999
Strep_C10053,0.23370178103816636
Strep_C10054,0.351325490499599
Strep_C10055,0.11634201451864289
Strep_C10056,0.11136757272179186
Strep_C10057,0.333266628208235
Strep_C10058,0.333266628208235
Strep_C10059,0.11136757272179186
Strep_C1005,0.35245843672205746
Strep_C10060,0.44444957634747156
Strep_C10061,0.11136757272179186
Strep_C10062,0.99999999
Strep_C10063,0.99999999
Strep_C10064,0.23305302815717163
Strep_C10065,0.23305302815717163
Strep_C10066,0.1160600458814914
Strep_C10067,0.23305302815717163
Strep_C10068,0.8524313909199117
Strep_C10069,0.99999999
Strep_C1006,0.8889131171654778
Strep_C10070,0.47311830745470035
