gene	product	strains_missing	missing_percentage
Strep_C18061	pirin family protein	1	11.11111111111111
Strep_C10508	ATP-binding cassette domain-containing protein	1	11.11111111111111
Strep_C10983	carbohydrate ABC transporter permease	1	11.11111111111111
Strep_C1994	sigma-70 family RNA polymerase sigma factor	1	11.11111111111111
Strep_C4153	MocR-like pyridoxine biosynthesis transcription factor PdxR	1	11.11111111111111
Strep_C3861	alpha/beta hydrolase	1	11.11111111111111
Strep_C8763	LCP family protein	1	11.11111111111111
Strep_C2482	transketolase	1	11.11111111111111
Strep_C11113	ribose-phosphate diphosphokinase	1	11.11111111111111
Strep_C12569	SDR family oxidoreductase	1	11.11111111111111
Strep_C18317	hypothetical protein	1	11.11111111111111
Strep_C2098	NADPH-dependent 2,4-dienoyl-CoA reductase	1	11.11111111111111
Strep_C5665	L,D-transpeptidase	1	11.11111111111111
Strep_C8969	mechanosensitive ion channel family protein	1	11.11111111111111
Strep_C11021	aldo/keto reductase	1	11.11111111111111
Strep_C15517	GNAT family N-acetyltransferase	1	11.11111111111111
Strep_C23584	roadblock/LC7 domain-containing protein	1	11.11111111111111
Strep_C25711	YciI family protein	1	11.11111111111111
Strep_C16163	LmeA family phospholipid-binding protein	1	11.11111111111111
Strep_C27201	type II toxin-antitoxin system Phd/YefM family antitoxin	1	11.11111111111111
Strep_C6595	YncE family protein	1	11.11111111111111
Strep_C17500	GntR family transcriptional regulator	1	11.11111111111111
Strep_C7228	flavin-containing monooxygenase	1	11.11111111111111
Strep_C12456	LysR family transcriptional regulator	1	11.11111111111111
Strep_C14758	HlyD family efflux transporter periplasmic adaptor subunit	1	11.11111111111111
Strep_C5644	pyroglutamyl-peptidase I	1	11.11111111111111
Strep_C9926	L-threonine 3-dehydrogenase	1	11.11111111111111
Strep_C4922	DUF2637 domain-containing protein	1	11.11111111111111
Strep_C23821	VOC family protein	1	11.11111111111111
Strep_C15872	IclR family transcriptional regulator	1	11.11111111111111
Strep_C16750	4'-phosphopantetheinyl transferase family protein	1	11.11111111111111
