,alpha,kappa
Iter1,0.6766117615642828,6955.725863275045
Iter2,0.5685751180852946,8694.593770924099
Iter3,0.6340770169624852,8010.477129081028
Iter4,0.5721193552436058,9113.74810388069
Iter5,0.5810622458152798,8450.443695816539
Iter6,0.5144898116434903,9954.326178064055
Iter7,0.5977703329591686,8490.951040508478
Iter8,0.527029456629235,9817.581659797186
Iter9,0.57217988004969,8193.383473888867
Iter10,0.5539901846220554,9159.283500863789
Iter11,0.5607623970003137,8942.804782399911
Iter12,0.5638465493542633,8233.284912664805
Iter13,0.5393686631591609,9618.207322083948
Iter14,0.6245513093045357,7759.196636790045
Iter15,0.5644736343014197,8166.185555077858
Iter16,0.6291497425447024,7522.684641598216
Iter17,0.5488718034986889,9196.621339681466
Iter18,0.5746317059929426,8347.956793308667
Iter19,0.6680862566921344,7094.400419847784
Iter20,0.6231381866706864,7460.144510874639
Iter21,0.6647582497424085,7377.721161627627
Iter22,0.5294211708096038,9765.501321657255
Iter23,0.5564805668176844,9061.032737804353
Iter24,0.5969497859891494,7921.855611248395
Iter25,0.5232251925884334,9769.56572193177
Iter26,0.5368278190314522,9730.407762884153
Iter27,0.6767134746493128,6515.759348833583
Iter28,0.6363490414671351,7717.20579788205
Iter29,0.5493807204908318,9258.78318936633
Iter30,0.6107903642728398,8100.2371759011685
Iter31,0.6123409027704174,8304.844302505002
Iter32,0.643367658322217,7770.941850426377
Iter33,0.5366002149286829,9073.824390359656
Iter34,0.5647782211920398,8320.79615722215
Iter35,0.6193936977326221,7938.169061381757
Iter36,0.5227603566139905,9426.771234080077
Iter37,0.5875005827830998,8714.70146657984
Iter38,0.5964635449732918,8178.9087087977305
Iter39,0.5907819726993615,8638.4066265081
Iter40,0.7670921994069209,5516.373878542094
Iter41,0.6075024782669964,8138.048237860289
Iter42,0.5288683098663375,9808.262989646415
Iter43,0.6093576761109212,8109.181207434292
Iter44,0.5132290393034458,10113.449272736141
Iter45,0.5327898016521289,9255.675131011922
Iter46,0.6028920198552676,8520.176014326511
Iter47,0.5178661210645291,9536.80710819779
Iter48,0.6201150473563576,7642.73352170259
Iter49,0.577355221119678,8783.148803516837
Iter50,0.667136315050263,7320.562302749249
Iter51,0.5494368478414541,8804.580368474577
Iter52,0.5338681235168148,9250.375225065009
Iter53,0.5968188186166947,8234.510390046198
Iter54,0.6365381786126741,7523.810375839143
Iter55,0.6389157362574148,7448.202642316761
Iter56,0.5546603135109084,9237.221413571098
Iter57,0.5912685401828479,8614.741726487278
Iter58,0.5829959606692084,8601.133866252241
Iter59,0.6378870735129183,7988.61192746975
Iter60,0.5971226818652295,7966.650372872181
Iter61,0.5563899892492384,9155.251347556425
Iter62,0.5650576152560539,8088.091666565217
Iter63,0.5386666986605759,9593.622084926217
Iter64,0.5969423921364155,8078.963427279678
Iter65,0.5145037706415321,9935.911551194185
Iter66,0.5409750937945283,9611.883358733843
Iter67,0.5310711293680405,9690.778221843368
Iter68,0.7463381691634644,5968.771352089212
Iter69,0.5524721522481356,9364.487992653558
Iter70,0.515106153468615,9319.891716291222
Iter71,0.517356380080322,9691.891191376908
Iter72,0.6449222836038861,7517.673603463114
Iter73,0.5556451947665846,8634.36867422212
Iter74,0.5945753127509835,8094.411132295813
Iter75,0.6907539553118032,6577.1728180867485
Iter76,0.5202981770041808,10108.54148459908
Iter77,0.6124989579770511,8076.333078035166
Iter78,0.548095469446158,9104.536596769076
Iter79,0.5824942311548553,8303.993017116498
Iter80,0.5929638376425223,8005.835324455859
Iter81,0.6574262814020528,7464.0365006706315
Iter82,0.6076809444698926,7648.47049132705
Iter83,0.5711072060275307,8980.095839450072
Iter84,0.5955335096425236,7960.9045535457
Iter85,0.5128611708733348,10041.599020729622
Iter86,0.6074235822821408,7852.782520547735
Iter87,0.586942208258804,8688.307218597258
Iter88,0.598752523031213,8137.862979976669
Iter89,0.6451704434053024,7671.621816483484
Iter90,0.6232394103176939,7941.098707194344
Iter91,0.7336219197895956,5861.099208924224
Iter92,0.6443867545168894,7683.054536134781
Iter93,0.6149328657456162,7876.71474119596
Iter94,0.6890206401909309,6785.661884901305
Iter95,0.5342357944625169,9263.942038703619
Iter96,0.5509593192910639,9126.764108129126
Iter97,0.6736747632706186,6881.321807127837
Iter98,0.48489368548183875,10525.44326066759
Iter99,0.6405002328577168,7593.741017116837
Iter100,0.5816597093869905,8546.45813816518
