Renaming sequences using method: cdhit
🔍 Auto-detecting taxonomy ID format...
❌ No taxonomy ID format detected - using protein IDs only
🎯 Processing CD-HIT with has_taxid=False
Loading shared headers from shared_headers.tsv
Loaded 0 shared header mappings
Processing CD-HIT clusters...
📌 Cluster 0 representative: WP_015508326.1
📌 Cluster 1 representative: WP_015508322.1
📌 Cluster 2 representative: WP_328840508.1
📌 Cluster 3 representative: WP_369276981.1
📌 Cluster 4 representative: WP_010357633.1
📌 Cluster 5 representative: WP_015508323.1
📌 Cluster 6 representative: WP_369279964.1
📌 Cluster 7 representative: WP_015507662.1
📌 Cluster 8 representative: WP_011028842.1
📌 Cluster 9 representative: WP_319167074.1
📌 Cluster 10 representative: WP_100216900.1
📌 Cluster 11 representative: WP_369279963.1
📌 Cluster 12 representative: WP_013005930.1
📌 Cluster 13 representative: WP_192361929.1
📌 Cluster 14 representative: WP_422397804.1
📌 Cluster 15 representative: WP_369276881.1
📌 Cluster 16 representative: WP_015507664.1
📌 Cluster 17 representative: WP_192363993.1
📌 Cluster 18 representative: WP_015508325.1
📌 Cluster 19 representative: WP_328838904.1
📌 Cluster 20 representative: WP_369279971.1
📌 Cluster 21 representative: WP_059044127.1
📌 Cluster 22 representative: WP_013005780.1
📌 Cluster 23 representative: WP_013005778.1
📌 Cluster 24 representative: WP_369276884.1
📌 Cluster 25 representative: WP_013005777.1
📌 Cluster 26 representative: WP_319166393.1
📌 Cluster 27 representative: WP_141655531.1
📌 Cluster 28 representative: WP_338714886.1
📌 Cluster 29 representative: WP_237313160.1
📌 Cluster 30 representative: WP_369277250.1
📌 Cluster 31 representative: WP_011030787.1
📌 Cluster 32 representative: WP_275874891.1
📌 Cluster 33 representative: WP_275874960.1
📌 Cluster 34 representative: WP_369277467.1
📌 Cluster 35 representative: WP_328842416.1
📌 Cluster 36 representative: WP_272897480.1
📌 Cluster 37 representative: WP_328838004.1
📌 Cluster 38 representative: WP_015507663.1
📌 Cluster 39 representative: WP_013002070.1
📌 Cluster 40 representative: WP_328840504.1
📌 Cluster 41 representative: WP_328840499.1
📌 Cluster 42 representative: WP_015506967.1
📌 Cluster 43 representative: WP_015507661.1
📌 Cluster 44 representative: WP_237313195.1
📌 Cluster 45 representative: WP_013005779.1
📌 Cluster 46 representative: WP_338714884.1
📌 Cluster 47 representative: WP_443033247.1
📌 Cluster 48 representative: WP_010356043.1
📌 Cluster 49 representative: WP_192365682.1
📌 Cluster 50 representative: WP_319166972.1
📌 Cluster 51 representative: WP_275874890.1
📌 Cluster 52 representative: WP_328836722.1
📌 Cluster 53 representative: WP_443033248.1
📌 Cluster 54 representative: WP_011028843.1
📌 Cluster 55 representative: WP_016325138.1
📌 Cluster 56 representative: WP_029184280.1
📌 Cluster 57 representative: WP_015506678.1
📌 Cluster 58 representative: WP_003946491.1
📌 Cluster 59 representative: WP_010356032.1
📌 Cluster 60 representative: WP_015507581.1
📌 Cluster 61 representative: WP_003951361.1
📌 Cluster 62 representative: WP_328840509.1
📌 Cluster 63 representative: WP_100216714.1
📌 Cluster 64 representative: WP_328840517.1
📌 Cluster 65 representative: WP_192359489.1
📌 Cluster 66 representative: WP_237312927.1
📌 Cluster 67 representative: WP_459565536.1
📌 Cluster 68 representative: WP_003952144.1
📌 Cluster 69 representative: WP_015508346.1
📌 Cluster 70 representative: WP_237312238.1
📌 Cluster 71 representative: WP_369276885.1
📌 Cluster 72 representative: WP_328841763.1
📌 Cluster 73 representative: WP_015508347.1
📌 Cluster 74 representative: WP_015508335.1
📌 Cluster 75 representative: WP_369276886.1
📌 Cluster 76 representative: WP_237312349.1
📌 Cluster 77 representative: WP_041670164.1
📌 Cluster 78 representative: WP_422397820.1
📌 Cluster 79 representative: WP_013005375.1
📌 Cluster 80 representative: WP_328840569.1
📌 Cluster 81 representative: WP_010350108.1
📌 Cluster 82 representative: WP_369278558.1
📌 Cluster 83 representative: WP_010356048.1
📌 Cluster 84 representative: WP_075693137.1
📌 Cluster 85 representative: WP_010349998.1
📌 Cluster 86 representative: WP_223786361.1
📌 Cluster 87 representative: WP_013005376.1
📌 Cluster 88 representative: WP_013001284.1
📌 Cluster 89 representative: WP_011028844.1
📌 Cluster 90 representative: WP_275874922.1
📌 Cluster 91 representative: WP_029184036.1
📌 Cluster 92 representative: WP_052683069.1
📌 Cluster 93 representative: WP_042799407.1
📌 Cluster 94 representative: WP_328834770.1
📌 Cluster 95 representative: WP_010360547.1
📌 Cluster 96 representative: WP_237313455.1
📌 Cluster 97 representative: WP_013004135.1
📌 Cluster 98 representative: WP_369278557.1
📌 Cluster 99 representative: WP_011030909.1
📌 Cluster 100 representative: WP_369278240.1
📌 Cluster 101 representative: WP_237311149.1
📌 Cluster 102 representative: WP_237313359.1
📌 Cluster 103 representative: WP_237309622.1
📌 Cluster 104 representative: WP_015507587.1
📌 Cluster 105 representative: WP_262377246.1
📌 Cluster 106 representative: WP_369279946.1
📌 Cluster 107 representative: WP_328840639.1
📌 Cluster 108 representative: WP_225617812.1
📌 Cluster 109 representative: WP_192364239.1
📌 Cluster 110 representative: WP_237309471.1
📌 Cluster 111 representative: WP_269149505.1
📌 Cluster 112 representative: WP_369277580.1
📌 Cluster 113 representative: WP_011026868.1
📌 Cluster 114 representative: WP_010350599.1
📌 Cluster 115 representative: WP_272897479.1
📌 Cluster 116 representative: WP_038534181.1
📌 Cluster 117 representative: WP_158002808.1
📌 Cluster 118 representative: WP_443033220.1
📌 Cluster 119 representative: WP_328836930.1
📌 Cluster 120 representative: WP_010356776.1
📌 Cluster 121 representative: WP_443033246.1
📌 Cluster 122 representative: WP_075660782.1
📌 Cluster 123 representative: WP_003972707.1
📌 Cluster 124 representative: WP_237312354.1
📌 Cluster 125 representative: WP_413254565.1
📌 Cluster 126 representative: WP_328835932.1
📌 Cluster 127 representative: WP_328840640.1
📌 Cluster 128 representative: WP_409106751.1
📌 Cluster 129 representative: WP_425304282.1
📌 Cluster 130 representative: WP_013001759.1
📌 Cluster 131 representative: WP_012999473.1
📌 Cluster 132 representative: WP_015507773.1
📌 Cluster 133 representative: WP_010349999.1
📌 Cluster 134 representative: WP_319152249.1
📌 Cluster 135 representative: WP_372462327.1
📌 Cluster 136 representative: WP_016324962.1
📌 Cluster 137 representative: WP_015508324.1
📌 Cluster 138 representative: WP_013005781.1
📌 Cluster 139 representative: WP_015506675.1
📌 Cluster 140 representative: WP_338149408.1
📌 Cluster 141 representative: WP_413254644.1
📌 Cluster 142 representative: WP_443033234.1
📌 Cluster 143 representative: WP_410468821.1
📌 Cluster 144 representative: WP_237312347.1
📌 Cluster 145 representative: WP_042799715.1
📌 Cluster 146 representative: WP_237310254.1
📌 Cluster 147 representative: WP_328841772.1
📌 Cluster 148 representative: WP_275874948.1
📌 Cluster 149 representative: WP_010358757.1
📌 Cluster 150 representative: WP_010360353.1
📌 Cluster 151 representative: WP_013001763.1
📌 Cluster 152 representative: WP_010357037.1
📌 Cluster 153 representative: WP_011031828.1
📌 Cluster 154 representative: WP_012998110.1
📌 Cluster 155 representative: WP_012999958.1
📌 Cluster 156 representative: WP_010355257.1
📌 Cluster 157 representative: WP_237313683.1
📌 Cluster 158 representative: WP_086796452.1
📌 Cluster 159 representative: WP_328836924.1
📌 Cluster 160 representative: WP_192364346.1
📌 Cluster 161 representative: WP_369277574.1
📌 Cluster 162 representative: WP_275874965.1
📌 Cluster 163 representative: WP_010351099.1
📌 Cluster 164 representative: WP_237310573.1
📌 Cluster 165 representative: WP_010351988.1
