gene	dominant_allele	dominant_count	dominant_frequency	dominant_proteins	cluster_representative	alternative_proteins	total_alleles	total_strains_with_gene
Strep_C10001	Strep_C10001A3	2	0.2222222222222222	WP_003974987.1	WP_003949452.1	WP_328842230.1,WP_150474589.1,WP_045558464.1	8	9
Strep_C10035	Strep_C10035A0	7	0.7777777777777778	WP_003966937.1	WP_003966937.1	WP_328834925.1,WP_086767151.1,WP_150472368.1	5	9
Strep_C10036	Strep_C10036A3	2	0.2222222222222222	WP_003974813.1	WP_037688324.1	WP_086770089.1,WP_003949050.1,WP_045555933.1	8	9
Strep_C10038	Strep_C10038A3	2	0.2222222222222222	WP_003976409.1	WP_060903017.1	WP_150470795.1,WP_003947876.1,WP_237310371.1	8	9
Strep_C10041	Strep_C10041A2	2	0.2222222222222222	WP_003978667.1	WP_328835280.1	WP_369277128.1,WP_237312575.1,WP_012998969.1	7	8
Strep_C10045	Strep_C10045A3	2	0.2222222222222222	WP_003976030.1	WP_328839042.1	WP_150471151.1,WP_003948152.1,WP_237310210.1	8	9
Strep_C10052	Strep_C10052A2	2	0.2222222222222222	WP_003978051.1	WP_150473904.1	WP_045560024.1,WP_328835828.1,WP_012998853.1	6	8
Strep_C10062	Strep_C10062A5	2	0.2222222222222222	WP_045559691.1	WP_003972166.1	WP_328835053.1,WP_328835073.1,WP_328836424.1	10	8
Strep_C10063	Strep_C10063A0	1	0.1111111111111111	WP_328836315.1	WP_003972563.1	WP_328734700.1,WP_010640940.1,WP_045556523.1	9	9
Strep_C10069	Strep_C10069A3	2	0.2222222222222222	WP_016325854.1	WP_093789398.1	WP_328840119.1,WP_150470164.1,WP_003947201.1	8	9
Strep_C10088	Strep_C10088A0	2	0.2222222222222222	WP_004931372.1	WP_004931372.1	WP_007449816.1,WP_005479350.1,WP_073496790.1	6	9
Strep_C1010	Strep_C1010A0	1	0.1111111111111111	WP_328839124.1	WP_003948134.1	WP_328736240.1,WP_016326272.1,WP_045557625.1	9	9
Strep_C10111	Strep_C10111A3	2	0.2222222222222222	WP_003975452.1	WP_003948896.1	WP_086801634.1,WP_328837628.1,WP_369278954.1	7	9
Strep_C10116	Strep_C10116A3	2	0.2222222222222222	WP_003974132.1	WP_003974132.1	WP_328837349.1,WP_086772016.1,WP_003948461.1	8	9
Strep_C10124	Strep_C10124A0	1	0.1111111111111111	WP_328840304.1	WP_078853996.1	WP_150469954.1,WP_003946909.1,WP_003977463.1	9	9
Strep_C10127	Strep_C10127A0	1	0.1111111111111111	WP_328838978.1	WP_237310188.1	WP_369278372.1,WP_003950593.1,WP_016326323.1	9	9
Strep_C10143	Strep_C10143A3	2	0.2222222222222222	WP_003977578.1	WP_010360407.1	WP_319690290.1,WP_150469887.1,WP_003946835.1	8	9
Strep_C10147	Strep_C10147A3	2	0.2222222222222222	WP_003976249.1	WP_028796968.1	WP_045557495.1,WP_086773121.1,WP_003947991.1	7	9
Strep_C10149	Strep_C10149A0	1	0.1111111111111111	WP_328836893.1	WP_328836893.1	WP_369280692.1,WP_008410671.1,WP_003973505.1	9	9
Strep_C10150	Strep_C10150A0	1	0.1111111111111111	WP_328837165.1	WP_328837165.1	WP_086767852.1,WP_003950651.1,WP_003973858.1	9	9
Strep_C10154	Strep_C10154A2	2	0.2222222222222222	WP_003974078.1	WP_150472474.1	WP_328837299.1,WP_045562888.1,WP_013001233.1	7	8
Strep_C10164	Strep_C10164A3	2	0.2222222222222222	WP_003973761.1	WP_003950753.1	WP_328837110.1,WP_086766047.1,WP_045559047.1	8	9
Strep_C10168	Strep_C10168A4	2	0.2222222222222222	WP_045556275.1	WP_003975697.1	WP_037705620.1,WP_086773284.1,WP_010643041.1	8	9
Strep_C10200	Strep_C10200A2	2	0.2222222222222222	WP_003973334.1	WP_328836783.1	WP_045561398.1,WP_086771987.1,WP_013000345.1	6	8
Strep_C10242	Strep_C10242A0	1	0.1111111111111111	WP_328838809.1	WP_029183668.1	WP_328736064.1,WP_003975773.1,WP_045556346.1	8	8
Strep_C10244	Strep_C10244A3	2	0.2222222222222222	WP_003976871.1	WP_005477940.1	WP_150470426.1,WP_003947461.1,WP_045560947.1	8	9
Strep_C10245	Strep_C10245A3	2	0.2222222222222222	WP_003974364.1	WP_046707246.1	WP_045559376.1,WP_086771586.1,WP_003948714.1	7	9
Strep_C10250	Strep_C10250A4	2	0.2222222222222222	WP_045561485.1	WP_328836853.1	WP_086767358.1,WP_003951089.1,WP_003973435.1	8	9
Strep_C10256	Strep_C10256A0	1	0.1111111111111111	WP_328834877.1	WP_413254553.1	WP_328836478.1,WP_013006059.1,WP_192363515.1	14	9
Strep_C10276	Strep_C10276A2	2	0.2222222222222222	WP_003973395.1	WP_003973395.1	WP_328836830.1,WP_150472940.1,WP_060883135.1	7	8
Strep_C10285	Strep_C10285A3	2	0.2222222222222222	WP_011027997.1	WP_237310806.1	WP_319759693.1,WP_150470328.1,WP_008403789.1	8	9
Strep_C10292	Strep_C10292A0	1	0.1111111111111111	WP_328840205.1	WP_086802809.1	WP_150470080.1,WP_003947067.1,WP_003977301.1	9	9
Strep_C10301	Strep_C10301A3	2	0.2222222222222222	WP_003975791.1	WP_037693049.1	WP_328736074.1,WP_003950447.1,WP_045556360.1	8	9
Strep_C10302	Strep_C10302A3	2	0.2222222222222222	WP_003973752.1	WP_046707265.1	WP_045559036.1,WP_150472685.1,WP_003950760.1	7	9
Strep_C10306	Strep_C10306A3	2	0.2222222222222222	WP_063646593.1	WP_328837287.1	WP_229894474.1,WP_003948357.1,WP_078853940.1	8	9
Strep_C10315	Strep_C10315A2	2	0.2222222222222222	WP_003977187.1	WP_328736949.1	WP_328840121.1,WP_045557107.1,WP_013004877.1	7	8
Strep_C10325	Strep_C10325A3	2	0.2222222222222222	WP_030870088.1	WP_015507063.1	WP_328836885.1,WP_369279327.1,WP_237313231.1	8	9
Strep_C10342	Strep_C10342A3	2	0.2222222222222222	WP_003975775.1	WP_013003113.1	WP_037693025.1,WP_369278502.1,WP_003950429.1	8	9
Strep_C10358	Strep_C10358A3	2	0.2222222222222222	WP_003974609.1	WP_029183509.1	WP_328838510.1,WP_229894658.1,WP_015507333.1	8	9
Strep_C10362	Strep_C10362A3	2	0.2222222222222222	WP_003972408.1	WP_319764577.1	WP_150473554.1,WP_003951963.1,WP_045556660.1	8	9
Strep_C10369	Strep_C10369A0	1	0.1111111111111111	WP_328838196.1	WP_328838196.1	WP_369278758.1,WP_003949444.1,WP_003974997.1	9	9
Strep_C10379	Strep_C10379A2	2	0.2222222222222222	WP_003976865.1	WP_369277958.1	WP_328839848.1,WP_045560958.1,WP_013004504.1	7	8
Strep_C10382	Strep_C10382A3	2	0.2222222222222222	WP_003975676.1	WP_003950277.1	WP_328838742.1,WP_369278531.1,WP_045556255.1	8	9
Strep_C10389	Strep_C10389A0	1	0.1111111111111111	WP_328840307.1	WP_015508204.1	WP_369277733.1,WP_003977467.1,WP_045563396.1	9	9
Strep_C10401	Strep_C10401A0	1	0.1111111111111111	WP_328840192.1	WP_177261791.1	WP_086768978.1,WP_030871104.1,WP_161269995.1	8	8
Strep_C10414	Strep_C10414A3	2	0.2222222222222222	WP_003973482.1	WP_010359033.1	WP_037695847.1,WP_086771125.1,WP_003951029.1	10	9
Strep_C10418	Strep_C10418A0	1	0.1111111111111111	WP_328836053.1	WP_328836053.1	WP_369279846.1,WP_003972632.1,WP_045556859.1	8	8
Strep_C10419	Strep_C10419A0	1	0.1111111111111111	WP_328836884.1	WP_328836884.1	WP_369279329.1,WP_015507062.1,WP_003973487.1	9	9
Strep_C10466	Strep_C10466A0	1	0.1111111111111111	WP_319694376.1	WP_029183473.1	WP_369278966.1,WP_003948833.1,WP_003975525.1	9	9
Strep_C10470	Strep_C10470A0	1	0.1111111111111111	WP_319766698.1	WP_319766698.1	WP_150471699.1,WP_003949128.1,WP_003974831.1	9	9
Strep_C10478	Strep_C10478A4	2	0.2222222222222222	WP_003975041.1	WP_328838293.1	WP_328838161.1,WP_192361492.1,WP_010353466.1	12	9
Strep_C10490	Strep_C10490A4	2	0.2222222222222222	WP_045557249.1	WP_003947030.1	WP_319765998.1,WP_086769498.1,WP_003977339.1	8	9
