gene	strain_count	frequency_percent
Strep_C2356	9	100.0
Strep_C17900	9	100.0
Strep_C17815	9	100.0
Strep_C17824	9	100.0
Strep_C17832	9	100.0
Strep_C17846	9	100.0
Strep_C1169	9	100.0
Strep_C1785	9	100.0
Strep_C2701	9	100.0
Strep_C5991	9	100.0
Strep_C25385	9	100.0
Strep_C11687	9	100.0
Strep_C11684	9	100.0
Strep_C2766	9	100.0
Strep_C11680	9	100.0
Strep_C9215	9	100.0
Strep_C5958	9	100.0
Strep_C6014	9	100.0
Strep_C9221	9	100.0
Strep_C1795	9	100.0
Strep_C5934	9	100.0
Strep_C17980	9	100.0
Strep_C5923	9	100.0
Strep_C17988	9	100.0
Strep_C5918	9	100.0
Strep_C2535	9	100.0
Strep_C18004	9	100.0
Strep_C5905	9	100.0
Strep_C25358	9	100.0
Strep_C1164	9	100.0
Strep_C25357	9	100.0
Strep_C25355	9	100.0
Strep_C6013	9	100.0
Strep_C6015	9	100.0
Strep_C5893	9	100.0
Strep_C17712	9	100.0
Strep_C9175	9	100.0
Strep_C6114	9	100.0
Strep_C17620	9	100.0
Strep_C11761	9	100.0
Strep_C6100	9	100.0
Strep_C609	9	100.0
Strep_C17647	9	100.0
Strep_C17648	9	100.0
Strep_C27003	9	100.0
Strep_C17653	9	100.0
Strep_C2874	9	100.0
Strep_C11749	9	100.0
Strep_C918	9	100.0
Strep_C6068	9	100.0
Strep_C17715	9	100.0
Strep_C6019	9	100.0
Strep_C17716	9	100.0
Strep_C17722	9	100.0
Strep_C17723	9	100.0
Strep_C1172	9	100.0
Strep_C25426	9	100.0
Strep_C6048	9	100.0
Strep_C17751	9	100.0
Strep_C17755	9	100.0
Strep_C17757	9	100.0
Strep_C17760	9	100.0
Strep_C6041	9	100.0
Strep_C1777	9	100.0
Strep_C602	9	100.0
Strep_C17799	9	100.0
Strep_C18019	9	100.0
Strep_C5889	9	100.0
Strep_C1674	9	100.0
Strep_C11544	9	100.0
Strep_C18256	9	100.0
Strep_C25285	9	100.0
Strep_C25284	9	100.0
Strep_C18303	9	100.0
Strep_C18305	9	100.0
Strep_C11560	9	100.0
Strep_C18306	9	100.0
Strep_C5748	9	100.0
Strep_C18311	9	100.0
Strep_C5742	9	100.0
Strep_C18324	9	100.0
Strep_C1833	9	100.0
Strep_C11548	9	100.0
Strep_C11547	9	100.0
Strep_C11543	9	100.0
Strep_C18252	9	100.0
Strep_C5727	9	100.0
Strep_C9285	9	100.0
Strep_C1836	9	100.0
Strep_C18376	9	100.0
Strep_C18377	9	100.0
Strep_C5702	9	100.0
Strep_C5698	9	100.0
Strep_C11523	9	100.0
Strep_C9299	9	100.0
Strep_C18412	9	100.0
Strep_C9300	9	100.0
Strep_C18432	9	100.0
Strep_C28883	9	100.0
Strep_C28884	9	100.0
Strep_C11574	9	100.0
Strep_C5780	9	100.0
Strep_C18074	9	100.0
Strep_C25307	9	100.0
Strep_C18090	9	100.0
Strep_C1162	9	100.0
Strep_C2881	9	100.0
Strep_C5853	9	100.0
Strep_C11626	9	100.0
Strep_C11621	9	100.0
Strep_C25320	9	100.0
Strep_C9247	9	100.0
Strep_C11615	9	100.0
Strep_C18159	9	100.0
Strep_C18164	9	100.0
Strep_C18165	9	100.0
Strep_C18170	9	100.0
Strep_C18175	9	100.0
Strep_C18182	9	100.0
Strep_C25290	9	100.0
Strep_C9250	9	100.0
Strep_C18189	9	100.0
Strep_C18190	9	100.0
Strep_C5810	9	100.0
Strep_C1819	9	100.0
Strep_C5803	9	100.0
Strep_C1820	9	100.0
Strep_C925	9	100.0
Strep_C9262	9	100.0
Strep_C5797	9	100.0
Strep_C5795	9	100.0
Strep_C5792	9	100.0
Strep_C926	9	100.0
Strep_C1823	9	100.0
Strep_C6115	9	100.0
Strep_C17615	9	100.0
Strep_C17601	9	100.0
Strep_C17061	9	100.0
Strep_C25647	9	100.0
Strep_C6480	9	100.0
Strep_C27716	9	100.0
Strep_C6478	9	100.0
Strep_C25641	9	100.0
Strep_C11965	9	100.0
Strep_C6473	9	100.0
Strep_C11959	9	100.0
Strep_C16997	9	100.0
Strep_C6445	9	100.0
Strep_C17014	9	100.0
Strep_C17020	9	100.0
Strep_C6435	9	100.0
Strep_C17055	9	100.0
Strep_C11943	9	100.0
Strep_C16929	9	100.0
Strep_C17065	9	100.0
Strep_C2560	9	100.0
Strep_C9091	9	100.0
Strep_C17077	9	100.0
Strep_C17079	9	100.0
Strep_C25607	9	100.0
Strep_C6408	9	100.0
Strep_C1710	9	100.0
Strep_C2559	9	100.0
Strep_C11928	9	100.0
Strep_C17121	9	100.0
Strep_C11923	9	100.0
Strep_C25593	9	100.0
Strep_C6383	9	100.0
Strep_C27718	9	100.0
Strep_C25651	9	100.0
Strep_C17597	9	100.0
Strep_C16842	9	100.0
Strep_C6594	9	100.0
Strep_C2568	9	100.0
Strep_C16767	9	100.0
Strep_C16768	9	100.0
Strep_C6583	9	100.0
Strep_C28605	9	100.0
Strep_C6578	9	100.0
Strep_C16800	9	100.0
Strep_C12022	9	100.0
Strep_C25679	9	100.0
Strep_C6557	9	100.0
Strep_C12018	9	100.0
Strep_C12016	9	100.0
Strep_C12015	9	100.0
Strep_C6541	9	100.0
Strep_C16924	9	100.0
Strep_C12010	9	100.0
Strep_C6540	9	100.0
Strep_C16862	9	100.0
Strep_C12003	9	100.0
Strep_C16890	9	100.0
Strep_C651	9	100.0
Strep_C11996	9	100.0
Strep_C9069	9	100.0
