gene	dominant_allele	dominant_count	dominant_frequency	dominant_proteins	cluster_representative	alternative_proteins	total_alleles	total_strains_with_gene	protein_id	locus_tag	gene_id	product	go_ids	go_process	go_function	go_component	annotation_source
Strep_C100335	Strep_C100335A0	1	0.0071428571428571	D7BX01	A0A0F7MYS4	Q827W6,S5URH0,A0A5P9WU64	138	138	D7BX01			aminodeoxychorismate lyase (EC 4.1.3.38)	GO:0008652;GO:0046656;GO:0008696;GO:0030170;GO:0008483;GO:0005829	amino acid biosynthetic process [GO:0008652]; folic acid biosynthetic process [GO:0046656]	4-amino-4-deoxychorismate lyase activity [GO:0008696]; pyridoxal phosphate binding [GO:0030170]; transaminase activity [GO:0008483]	cytosol [GO:0005829]	dominant_protein
Strep_C100456	Strep_C100456A15	2	0.0142857142857142	A0A0F7VQ87	A0A1D8G4M5	A0A7H8ZRG7,A0A1V0UEE5,D7BQK5	137	139	A0A0F7VQ87			NADH-quinone oxidoreductase subunit C (EC 7.1.1.-) (NADH dehydrogenase I subunit C) (NDH-1 subunit C)	GO:0008137;GO:0050136;GO:0048038;GO:0005886		NADH dehydrogenase (ubiquinone) activity [GO:0008137]; NADH:ubiquinone reductase (non-electrogenic) activity [GO:0050136]; quinone binding [GO:0048038]	plasma membrane [GO:0005886]	dominant_protein
Strep_C100687	Strep_C100687A17	5	0.0357142857142857	A0A5P2DLZ8	D7BQU5	A0A1S6J8I1,A0A5P9WKW7,A0A346C4Z6	105	140	A0A5P2DLZ8			Large ribosomal subunit protein uL2	GO:0002181;GO:0019843;GO:0003735;GO:0016740;GO:0015934	cytoplasmic translation [GO:0002181]	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; transferase activity [GO:0016740]	large ribosomal subunit [GO:0015934]	dominant_protein
Strep_C100853	Strep_C100853A19	2	0.0142857142857142	A0A0M4DGB4	A0A1Z1W823	A0A1V0U7E8,A0A7H8ZX18,D7CI94	138	140	A0A0M4DGB4			Enoyl-CoA hydratase	GO:0016853		isomerase activity [GO:0016853]		dominant_protein
Strep_C10107	Strep_C10107A0	1	0.0071428571428571	D7BYV1	A0A1Z1W786	Q828C6,S5VD85,A0A5J6HVJ7	140	140	D7BYV1			Phenylalanine--tRNA ligase beta subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase beta subunit) (PheRS)	GO:0006432;GO:0005524;GO:0000287;GO:0004826;GO:0000049;GO:0009328	phenylalanyl-tRNA aminoacylation [GO:0006432]	ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; phenylalanine-tRNA ligase activity [GO:0004826]; tRNA binding [GO:0000049]	phenylalanine-tRNA ligase complex [GO:0009328]	dominant_protein
Strep_C10124	Strep_C10124A23	2	0.0142857142857142	A0A1L6PLH0	A0A7R8NQY6	A0A3S8XQI3,A0A0N6W5F0,A0A1V0UE13	135	140	A0A1V0UE13			NDP-hexose 4-ketoreductase	GO:0034605;GO:0005524;GO:0016887;GO:0005737	cellular response to heat [GO:0034605]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]	cytoplasm [GO:0005737]	alternative_protein_3
Strep_C101723	Strep_C101723A38	2	0.0142857142857142	A0A7H8ZR40	A0A1L7GH79	D7CAK1,Q82F81,S5VQS9	138	139	D7CAK1			Uncharacterized protein	GO:0046872		metal ion binding [GO:0046872]		alternative_protein_1
Strep_C102564	Strep_C102564A38	2	0.0142857142857142	A0A7H8ZUT3	A0A7G3UGW6	D7CHV2,Q82E61,S5UV33	138	139	A0A7G3UGW6			Oxidoreductase	GO:0016616		oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]		cluster_representative
Strep_C103276	Strep_C103276A17	2	0.0142857142857142	A0A3G4VU46	A0A5P2W8R0	A0A1V0UE33,A0A7H8ZPU8,A0A6N9VAI3	130	133	A0A5P2W8R0			UPF0309 protein CP978_15310	GO:1901135;GO:0097367;GO:0016853	carbohydrate derivative metabolic process [GO:1901135]	carbohydrate derivative binding [GO:0097367]; isomerase activity [GO:0016853]		cluster_representative
Strep_C103400	Strep_C103400A6	2	0.0142857142857142	A0A222STD6	A0A7G1P7U9	D7CGT5,Q829T8,S5USL5	139	140	A0A7G1P7U9			Transport permease protein	GO:0046677;GO:0140359;GO:0043190	response to antibiotic [GO:0046677]	ABC-type transporter activity [GO:0140359]	ATP-binding cassette (ABC) transporter complex [GO:0043190]	cluster_representative
Strep_C103413	Strep_C103413A24	2	0.0142857142857142	A0A5P9WZ78	A0A7R8NNW7	A0A1V0UBM9,A0A7H8ZV02,G2P055	139	138	A0A1V0UBM9			Cytochrome C biogenesis protein CcdA	GO:0017004;GO:0016020	cytochrome complex assembly [GO:0017004]		membrane [GO:0016020]	alternative_protein_1
Strep_C103467	Strep_C103467A15	2	0.0142857142857142	A0A0F7W6T6	N0CR62	A0A0F7MYT6,A0A3S8VJZ8,A0A1W5Z6Y3	132	140	A0A0F7W6T6			1-acyl-sn-glycerol-3-phosphate acyltransferase (Acyl-phosphate glycerol 3-phosphate acyltransferase)	GO:0006654;GO:0003841;GO:0005886	phosphatidic acid biosynthetic process [GO:0006654]	1-acylglycerol-3-phosphate O-acyltransferase activity [GO:0003841]	plasma membrane [GO:0005886]	dominant_protein
Strep_C103468	Strep_C103468A15	2	0.0142857142857142	A0A0F7VPG7	N0CU99	A0A1W5XSY7,A0A1D7VT96,A0A516RCU3	136	139	A0A0F7VPG7			GntR family transcriptional regulator	GO:0045892;GO:0003677;GO:0003700	negative regulation of DNA-templated transcription [GO:0045892]	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]		dominant_protein
Strep_C103739	Strep_C103739A44	6	0.0428571428571428	A0A291QGV6	A0A6I6WT02	A0A6G5RKI5,A0A7G1NKW5,A0A3G4W3H8	126	139	A0A291QGV6			LexA repressor (EC 3.4.21.88)	GO:0006281;GO:0006260;GO:0045892;GO:0006508;GO:0009432;GO:0003677;GO:0004252	DNA repair [GO:0006281]; DNA replication [GO:0006260]; negative regulation of DNA-templated transcription [GO:0045892]; proteolysis [GO:0006508]; SOS response [GO:0009432]	DNA binding [GO:0003677]; serine-type endopeptidase activity [GO:0004252]		dominant_protein
Strep_C103901	Strep_C103901A16	2	0.0142857142857142	A0A0F7N0Z2	B1W1Y0	A0A3G4VRX3,B4VFW4,A0A1V0U7B7	134	138	B1W1Y0			ABC transporter ATP-binding protein	GO:0005524;GO:0016887;GO:0042626;GO:0043190		ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATPase-coupled transmembrane transporter activity [GO:0042626]	ATP-binding cassette (ABC) transporter complex [GO:0043190]	cluster_representative
Strep_C103920	Strep_C103920A18	2	0.0142857142857142	A0A0G3UH71	N0CKQ1	A0A7H8ZXN0,A0A1V0U4W5,D7BRI8	134	136	N0CKQ1			Phospholipid/glycerol acyltransferase (EC 2.3.1.51)	GO:0006654;GO:0003841;GO:0005886	phosphatidic acid biosynthetic process [GO:0006654]	1-acylglycerol-3-phosphate O-acyltransferase activity [GO:0003841]	plasma membrane [GO:0005886]	cluster_representative
Strep_C104126	Strep_C104126A22	2	0.0142857142857142	A0A1L6PL73	A0A3G4VW05	A0A1V0UDH6,A0A7H8ZS60,A0A6N9VA78	136	139	A0A1V0UDH6			Guanyltransferase	GO:0016740		transferase activity [GO:0016740]		alternative_protein_1
Strep_C104419	Strep_C104419A33	3	0.0214285714285714	A0A7G6XN80	S5UPU3	A0A1V0U848,A0A7H8ZWS9,A0A516R613	133	138	S5UPU3			Cytochrome bc1 complex cytochrome c subunit (EC 7.1.1.8)	GO:0020037;GO:0005506;GO:0008121;GO:0005886		heme binding [GO:0020037]; iron ion binding [GO:0005506]; ubiquinol-cytochrome-c reductase activity [GO:0008121]	plasma membrane [GO:0005886]	cluster_representative
Strep_C105493	Strep_C105493A38	2	0.0142857142857142	A0A1V0U5Z2	A0A3Q9G3Z7	D7BY05,Q827B5,S5UQS6	137	138	A0A1V0U5Z2			3-oxoacyl-ACP reductase	GO:0017000;GO:0016491	antibiotic biosynthetic process [GO:0017000]	oxidoreductase activity [GO:0016491]		dominant_protein
Strep_C105624	Strep_C105624A38	2	0.0142857142857142	A0A1V0U7F6	A0A6C0PZ01	D7BSS1,Q828M5,S5VJD3	136	137	A0A1V0U7F6			Phosphoglycerate mutase	GO:0016791;GO:0005737		phosphatase activity [GO:0016791]	cytoplasm [GO:0005737]	dominant_protein
Strep_C105633	Strep_C105633A19	2	0.0142857142857142	A0A0F7W429	A0A7H8IWM7	A0A0F7MY26,A0A3S8VJA4,A0A3G4VQ48	154	140	A0A0F7W429			Electron transfer flavoprotein subunit beta (Electron transfer flavoprotein small subunit)	GO:0009055;GO:0005829		electron transfer activity [GO:0009055]	cytosol [GO:0005829]	dominant_protein
Strep_C105932	Strep_C105932A63	3	0.0214285714285714	A0A5B7UTR1	A0A385D9P7	A0A0C5GDB3,A0A0F7VVJ3,A0A0F7N3W3	131	140	A0A385D9P7			DNA-binding response regulator	GO:0000160;GO:0006355;GO:0003677	phosphorelay signal transduction system [GO:0000160]; regulation of DNA-templated transcription [GO:0006355]	DNA binding [GO:0003677]		cluster_representative
Strep_C105946	Strep_C105946A64	5	0.0357142857142857	A0A3S8WLT8	A0A1D8G5H2	A0A3Q8VSY8,A0A0N6ZIN3,A0A346C5I3	116	140	A0A1D8G5H2			Transcriptional regulatory protein AfsQ1	GO:0006355;GO:0000156;GO:0000976;GO:0005829;GO:0032993	regulation of DNA-templated transcription [GO:0006355]	phosphorelay response regulator activity [GO:0000156]; transcription cis-regulatory region binding [GO:0000976]	cytosol [GO:0005829]; protein-DNA complex [GO:0032993]	cluster_representative
Strep_C10613	Strep_C10613A0	1	0.0071428571428571	D7C0N0	B1VTW9	Q82MJ1,S5VY88,A0A5P8KFD0	137	137	D7C0N0			Transcription accessory protein	GO:0006139;GO:0006412;GO:0003729;GO:0003735;GO:0005737	nucleobase-containing compound metabolic process [GO:0006139]; translation [GO:0006412]	mRNA binding [GO:0003729]; structural constituent of ribosome [GO:0003735]	cytoplasm [GO:0005737]	dominant_protein
