gene	dominant_allele	dominant_count	dominant_frequency	dominant_proteins	cluster_representative	alternative_proteins	total_alleles	total_strains_with_gene
Strep_C0	Strep_C0A0	1	0.007142857142857143	A0A7H8ITP5	A0A7H8ITP5		1	1
Strep_C1	Strep_C1A0	1	0.007142857142857143	A0A7L5T7K0	A0A7L5T7K0		1	1
Strep_C10	Strep_C10A0	1	0.007142857142857143	A0A7G3UPX6	A0A7G3UPX6		1	1
Strep_C100	Strep_C100A0	1	0.007142857142857143	A0A2S1T296	A0A2S1T296		1	1
Strep_C1000	Strep_C1000A0	1	0.007142857142857143	G2NUU7	G2NUU7	A0A1H5B9R2	2	2
Strep_C10000	Strep_C10000A0	1	0.007142857142857143	A0A7L4XX94	A0A7L4XX94		1	1
Strep_C100000	Strep_C100000A0	1	0.007142857142857143	A0A2K9EQW4	A0A2K9EQW4		1	1
Strep_C100001	Strep_C100001A0	1	0.007142857142857143	A0A2K9EY13	A0A2K9EY13	A0A3S8VME1	2	2
Strep_C100002	Strep_C100002A0	1	0.007142857142857143	A0A2K9F2S8	A0A2K9F2S8	A0A3Q8UM50	2	2
Strep_C100003	Strep_C100003A0	1	0.007142857142857143	A0A2K9F4C5	A0A2K9F4C5		1	1
Strep_C100004	Strep_C100004A0	1	0.007142857142857143	A0A0F7N725	A0A2K9FBP7	A0A3Q8UQV3	3	3
Strep_C100005	Strep_C100005A0	1	0.007142857142857143	A0A222SMJ8	A0A222SMJ8		1	1
Strep_C100006	Strep_C100006A0	1	0.007142857142857143	A0A222SQT8	A0A222SQT8		1	1
Strep_C100007	Strep_C100007A0	1	0.007142857142857143	A0A0U3BR23	A0A222TAB4	A0A1L6PT56	3	3
Strep_C100008	Strep_C100008A0	1	0.007142857142857143	A0A5B7UR93	A0A5B7UR93		1	1
Strep_C100009	Strep_C100009A0	1	0.007142857142857143	A0A5B7UVZ0	A0A5B7UVZ0	A0A5P2XCK2,A0A516R9G6	3	3
Strep_C10001	Strep_C10001A0	1	0.007142857142857143	A0A6I6MRR6	A0A6I6MRR6		1	1
Strep_C100010	Strep_C100010A0	1	0.007142857142857143	A0A5B7V690	A0A5B7V690	A0A5P2X607,A0A5P2B5W7	3	3
Strep_C100011	Strep_C100011A0	1	0.007142857142857143	A0A5B7V761	A0A5B7V761		1	1
Strep_C100012	Strep_C100012A0	1	0.007142857142857143	A0A5B7V836	A0A5B7V836		1	1
Strep_C100013	Strep_C100013A0	1	0.007142857142857143	A0A5B7V8D3	A0A5B7V8D3		1	1
Strep_C100014	Strep_C100014A0	1	0.007142857142857143	A0A1B1AX61	A0A5B7VAG5		2	2
Strep_C100015	Strep_C100015A0	1	0.007142857142857143	A0A5P2X1D0	A0A5P2X1D0		1	1
Strep_C100016	Strep_C100016A0	1	0.007142857142857143	A0A1Z1WBD3	A0A5P2X5A4	A0A5B7UT09,A0A516R7U1,A0A5J6HVC9	5	5
Strep_C100017	Strep_C100017A0	1	0.007142857142857143	A0A5B7UMD5	A0A5P2X5L0	A0A516R322	3	3
Strep_C100018	Strep_C100018A0	1	0.007142857142857143	A0A5P2XI56	A0A5P2XI56	A0A5P9WJF3	2	2
Strep_C100019	Strep_C100019A0	1	0.007142857142857143	A0A6H0CEV5	A0A6H0CEV5		1	1
Strep_C10002	Strep_C10002A0	1	0.007142857142857143	A0A6I6WZJ2	A0A6I6WZJ2	A0A7H8NCV5	2	2
Strep_C100020	Strep_C100020A0	1	0.007142857142857143	A0A6H0CG04	A0A6H0CG04		1	1
Strep_C100021	Strep_C100021A0	1	0.007142857142857143	A0A6H0CGW9	A0A6H0CGW9		1	1
Strep_C100022	Strep_C100022A0	1	0.007142857142857143	B1VXG2	A0A6H0CSV1	A0A2K9FI80,A0A5R9M3B0,A0A6M4WVX1	6	6
Strep_C100023	Strep_C100023A0	1	0.007142857142857143	A0A6H0CYK2	A0A6H0CYK2		1	1
Strep_C100024	Strep_C100024A0	1	0.007142857142857143	A0A6H0CZN7	A0A6H0CZN7		1	1
Strep_C100025	Strep_C100025A0	1	0.007142857142857143	A0A7H0ND14	A0A7H0ND14		1	1
Strep_C100026	Strep_C100026A0	1	0.007142857142857143	A0A7H0NH57	A0A7H0NH57	A0A5P2ANG2	2	2
Strep_C100027	Strep_C100027A0	1	0.007142857142857143	A0A7H0NHR5	A0A7H0NHR5		1	1
Strep_C100028	Strep_C100028A0	1	0.007142857142857143	B1VL34	A0A7H0NJR3	A0A0U2T007,A0A1L6PJ99,A0A6C0Q9C8	6	6
Strep_C100029	Strep_C100029A0	1	0.007142857142857143	A0A7H0NLD3	A0A7H0NLD3	A0A7H8MR19,A0A7H8ZQ24	3	3
Strep_C10003	Strep_C10003A0	1	0.007142857142857143	A0A6I6W7L1	A0A6I6W7L1		1	1
Strep_C100030	Strep_C100030A0	1	0.007142857142857143	Q82QH7	A0A7H0NTQ5	C9ZHI6,A0A5Q0L5A4,A0A5P2URL7	18	18
Strep_C100031	Strep_C100031A0	1	0.007142857142857143	A0A3Q9FY80	A0A3Q9FY80		1	1
Strep_C100032	Strep_C100032A0	1	0.007142857142857143	A0A3Q9FZ22	A0A3Q9FZ22		1	1
Strep_C100033	Strep_C100033A0	1	0.007142857142857143	A0A3Q9G1P5	A0A3Q9G1P5		1	1
Strep_C100034	Strep_C100034A0	1	0.007142857142857143	A0A3Q9G543	A0A3Q9G543		1	1
Strep_C100035	Strep_C100035A0	1	0.007142857142857143	A0A1D7Y7V6	A0A3G2J6U6		2	2
Strep_C100036	Strep_C100036A0	1	0.007142857142857143	A0A3Q8UYH2	A0A3Q8UYH2		1	1
Strep_C100037	Strep_C100037A0	1	0.007142857142857143	D7BX28	A0A3Q8UZK4	Q827X7,A0A3S9HWJ9,A0A3S9M2T1	26	26
Strep_C100038	Strep_C100038A0	1	0.007142857142857143	Q82EP1	A0A3S9ZFR5	G2NJT5,A0A2K8PQN5,A0A2N9BAH3	40	39
Strep_C100039	Strep_C100039A0	1	0.007142857142857143	A0A3Q8W0N4	A0A3Q8W0N4		1	1
Strep_C10004	Strep_C10004A0	1	0.007142857142857143	B1W1U9	A0A6M4PV58	A0A0U3L9L6,A0A1L7GCH4,A0A7R8RMM8	5	5
Strep_C100040	Strep_C100040A0	1	0.007142857142857143	A0A387H438	A0A387H438		1	1
Strep_C100041	Strep_C100041A0	1	0.007142857142857143	A0A387H4A7	A0A387H4A7		1	1
Strep_C100042	Strep_C100042A0	1	0.007142857142857143	G2NXH0	A0A387HBX6	A0A1V0UE07,A0A3S9Y867,A0A5J6GDI7	18	18
Strep_C100043	Strep_C100043A0	1	0.007142857142857143	A0A387HCZ0	A0A387HCZ0		1	1
