,estimated_frequency
Strep_C0,0.99999999
Strep_C100000,0.014285714285714285
Strep_C100001,0.007142857142857143
Strep_C100002,0.02857142857142857
Strep_C100003,0.014285714285714285
Strep_C100004,0.014285714285714285
Strep_C100005,0.007142857142857143
Strep_C100006,0.007142857142857143
Strep_C100007,0.007142857142857143
Strep_C100008,0.007142857142857143
Strep_C100009,0.007142857142857143
Strep_C10000,0.014285714285714285
Strep_C100010,0.14491453490711106
Strep_C100011,0.99999999
Strep_C100012,0.007142857142857143
Strep_C100013,0.007142857142857143
Strep_C100014,0.007142857142857143
Strep_C100015,0.014285714285714285
Strep_C100016,0.014285714285714285
Strep_C100017,0.007142857142857143
Strep_C100018,0.014285714285714285
Strep_C100019,0.007142857142857143
Strep_C10001,0.007142857142857143
Strep_C100020,0.014285714285714285
Strep_C100021,0.014285714285714285
Strep_C100022,0.007142857142857143
Strep_C100023,0.007142857142857143
Strep_C100024,0.007142857142857143
Strep_C100025,0.007142857142857143
Strep_C100026,0.007142857142857143
Strep_C100027,0.007142857142857143
Strep_C100028,0.007142857142857143
Strep_C100029,0.18853680648623197
Strep_C10002,0.007142857142857143
Strep_C100030,0.007142857142857143
Strep_C100031,0.007142857142857143
Strep_C100032,0.007142857142857143
Strep_C100033,0.007142857142857143
Strep_C100034,0.007142857142857143
Strep_C100035,0.9757997929388851
Strep_C100036,0.007142857142857143
Strep_C100037,0.007142857142857143
Strep_C100038,0.007142857142857143
Strep_C100039,0.007142857142857143
Strep_C10003,0.007142857142857143
Strep_C100040,0.007142857142857143
Strep_C100041,0.007142857142857143
Strep_C100042,0.007142857142857143
Strep_C100043,0.014285714285714285
Strep_C100044,0.007142857142857143
Strep_C100045,0.007142857142857143
Strep_C100046,0.007142857142857143
Strep_C100047,0.007142857142857143
Strep_C100048,0.007142857142857143
Strep_C100049,0.007142857142857143
Strep_C10004,0.014285714285714285
Strep_C100050,0.02142857142857143
Strep_C100051,0.007142857142857143
Strep_C100052,0.014285714285714285
Strep_C100053,0.007142857142857143
Strep_C100054,0.007142857142857143
Strep_C100055,0.007142857142857143
Strep_C100056,0.007142857142857143
Strep_C100057,0.007142857142857143
Strep_C100058,0.007142857142857143
Strep_C100059,0.007142857142857143
Strep_C10005,0.014285714285714285
Strep_C100060,0.007142857142857143
Strep_C100061,0.007142857142857143
Strep_C100062,0.007142857142857143
Strep_C100063,0.007142857142857143
Strep_C100064,0.32581885401082633
Strep_C100065,0.007142857142857143
Strep_C100066,0.02142857142857143
Strep_C100067,0.007142857142857143
Strep_C100068,0.007142857142857143
Strep_C100069,0.007142857142857143
Strep_C10006,0.007142857142857143
Strep_C100070,0.007142857142857143
Strep_C100071,0.007142857142857143
Strep_C100072,0.007142857142857143
Strep_C100073,0.007142857142857143
Strep_C100074,0.007142857142857143
Strep_C100075,0.02142857142857143
Strep_C100076,0.007142857142857143
Strep_C100077,0.007142857142857143
Strep_C100078,0.007142857142857143
Strep_C100079,0.007142857142857143
Strep_C10007,0.007142857142857143
Strep_C100080,0.007142857142857143
Strep_C100081,0.007142857142857143
Strep_C100082,0.007142857142857143
Strep_C100083,0.007142857142857143
Strep_C100084,0.007142857142857143
Strep_C100085,0.007142857142857143
Strep_C100086,0.007142857142857143
Strep_C100087,0.007142857142857143
Strep_C100088,0.007142857142857143
Strep_C100089,0.007142857142857143
Strep_C10008,0.007142857142857143
Strep_C100090,0.07857142857142857
Strep_C100091,0.014285714285714285
Strep_C100092,0.007142857142857143
Strep_C100093,0.007142857142857143
Strep_C100094,0.007142857142857143
Strep_C100095,0.007142857142857143
Strep_C100096,0.02142857142857143
Strep_C100097,0.007142857142857143
Strep_C100098,0.17408130524744825
Strep_C100099,0.007142857142857143
Strep_C10009,0.007142857142857143
Strep_C1000,0.007142857142857143
Strep_C100100,0.007142857142857143
Strep_C100101,0.007142857142857143
Strep_C100102,0.007142857142857143
Strep_C100103,0.007142857142857143
Strep_C100104,0.007142857142857143
Strep_C100105,0.007142857142857143
Strep_C100106,0.007142857142857143
Strep_C100107,0.007142857142857143
Strep_C100108,0.007142857142857143
Strep_C100109,0.007142857142857143
Strep_C10010,0.007142857142857143
Strep_C100110,0.007142857142857143
Strep_C100111,0.239568078794013
Strep_C100112,0.007142857142857143
Strep_C100113,0.007142857142857143
Strep_C100114,0.007142857142857143
Strep_C100115,0.007142857142857143
Strep_C100116,0.02142857142857143
Strep_C100117,0.17331600282015855
Strep_C100118,0.007142857142857143
Strep_C100119,0.007142857142857143
Strep_C10011,0.007142857142857143
Strep_C100120,0.007142857142857143
Strep_C100121,0.02142857142857143
Strep_C100122,0.007142857142857143
Strep_C100123,0.014285714285714285
Strep_C100124,0.007142857142857143
Strep_C100125,0.007142857142857143
Strep_C100126,0.007142857142857143
Strep_C100127,0.007142857142857143
Strep_C100128,0.007142857142857143
Strep_C100129,0.007142857142857143
Strep_C10012,0.007142857142857143
Strep_C100130,0.007142857142857143
Strep_C100131,0.007142857142857143
Strep_C100132,0.007142857142857143
Strep_C100133,0.007142857142857143
Strep_C100134,0.007142857142857143
Strep_C100135,0.007142857142857143
Strep_C100136,0.007142857142857143
Strep_C100137,0.007142857142857143
Strep_C100138,0.007142857142857143
Strep_C100139,0.007142857142857143
Strep_C10013,0.007142857142857143
Strep_C100140,0.1
Strep_C100141,0.007142857142857143
Strep_C100142,0.007142857142857143
Strep_C100143,0.02857142857142857
Strep_C100144,0.007142857142857143
Strep_C100145,0.007142857142857143
Strep_C100146,0.007142857142857143
Strep_C100147,0.007142857142857143
Strep_C100148,0.09285714285714286
Strep_C100149,0.007142857142857143
Strep_C10014,0.007142857142857143
Strep_C100150,0.007142857142857143
Strep_C100151,0.007142857142857143
Strep_C100152,0.007142857142857143
Strep_C100153,0.007142857142857143
Strep_C100154,0.014285714285714285
Strep_C100155,0.007142857142857143
Strep_C100156,0.02857142857142857
Strep_C100157,0.007142857142857143
Strep_C100158,0.007142857142857143
Strep_C100159,0.014285714285714285
Strep_C10015,0.007142857142857143
Strep_C100160,0.007142857142857143
