gene	dominant_allele	dominant_count	dominant_frequency	dominant_proteins	cluster_representative	alternative_proteins	total_alleles	total_strains_with_gene	protein_id	locus_tag	gene_id	product	go_ids	go_process	go_function	go_component	annotation_source
Strep_C0	Strep_C0A103	2	0.0142857142857142	A0A7H8ZN19	A0A6I6SBA6	A0A7G6XFG5,A0A1L7GKB0,B4V1Y1	132	137	A0A7H8ZN19			deleted					dominant_protein
Strep_C100011	Strep_C100011A0	1	0.0071428571428571	N0D434	N0D434	A0A0U3EI53,A0A0K2B066,A0A7T1T4F7	141	140	N0D434			Coproporphyrin III ferrochelatase (EC 4.99.1.9)	GO:0006783;GO:0004325;GO:0046872;GO:0005737	heme biosynthetic process [GO:0006783]	ferrochelatase activity [GO:0004325]; metal ion binding [GO:0046872]	cytoplasm [GO:0005737]	dominant_protein
Strep_C100250	Strep_C100250A0	1	0.0071428571428571	A0A0N6ZR64	A0A0N6ZR64	A0A0K2AS86,A0A0B5DK88,A0A6I6N969	140	140	A0A0K2AS86			Ribonuclease PH (RNase PH) (EC 2.7.7.56) (tRNA nucleotidyltransferase)	GO:0031125;GO:0016075;GO:0008033;GO:0000175;GO:0000049;GO:0009022	rRNA 3'-end processing [GO:0031125]; rRNA catabolic process [GO:0016075]; tRNA processing [GO:0008033]	3'-5'-RNA exonuclease activity [GO:0000175]; tRNA binding [GO:0000049]; tRNA nucleotidyltransferase activity [GO:0009022]		alternative_protein_1
Strep_C100280	Strep_C100280A176	2	0.0142857142857142	A0A6N9VBC3	A0A143CB77	A0A3G4VT61,A0A0G3UKL7,A0A5P9WF98	388	140	A0A6N9VBC3			Cation diffusion facilitator family transporter (Cation transporter)	GO:0005385;GO:0005886		zinc ion transmembrane transporter activity [GO:0005385]	plasma membrane [GO:0005886]	dominant_protein
Strep_C100409	Strep_C100409A151	2	0.0142857142857142	A0A0N6ZIB0	A0A1D7VY67	A0A516RE49,A0A1W5XZW4,A0A1B1B1I4	248	140	A0A1D7VY67			Thiamine-monophosphate kinase (TMP kinase) (Thiamine-phosphate kinase) (EC 2.7.4.16)	GO:0009228;GO:0009229;GO:0005524;GO:0000287;GO:0009030	thiamine biosynthetic process [GO:0009228]; thiamine diphosphate biosynthetic process [GO:0009229]	ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; thiamine-phosphate kinase activity [GO:0009030]		cluster_representative
Strep_C100411	Strep_C100411A0	1	0.0071428571428571	A0A1D7VYS0	A0A1D7VYS0	A0A1W5Y063,A0A4Q7ERM0,A0A7G3UFK8	163	140	A0A1D7VYS0			Futalosine hydrolase (FL hydrolase) (EC 3.2.2.26) (Futalosine nucleosidase) (Menaquinone biosynthetic enzyme MqnB)	GO:0019284;GO:0009234;GO:0009116;GO:0008782;GO:0008930;GO:0005829	L-methionine salvage from S-adenosylmethionine [GO:0019284]; menaquinone biosynthetic process [GO:0009234]; nucleoside metabolic process [GO:0009116]	adenosylhomocysteine nucleosidase activity [GO:0008782]; methylthioadenosine nucleosidase activity [GO:0008930]	cytosol [GO:0005829]	dominant_protein
Strep_C100514	Strep_C100514A0	1	0.0071428571428571	A0A1U9QMZ9	A0A1U9QMZ9	A0A6C0QBT3,A0A191UTC2,A0A3Q9C1A2	194	140	A0A1U9QMZ9			Tellurium resistance protein TerC	GO:0016020			membrane [GO:0016020]	dominant_protein
Strep_C100719	Strep_C100719A202	2	0.0142857142857142	A0A516RCM0	A0A222SLM5	N0CNL1,A0A6N9V9E5,A0A1W5YZE7	1775	140	A0A516RCM0			alanine transaminase (EC 2.6.1.2)	GO:0004021;GO:0030170;GO:0009042		L-alanine:2-oxoglutarate aminotransferase activity [GO:0004021]; pyridoxal phosphate binding [GO:0030170]; valine-pyruvate transaminase activity [GO:0009042]		dominant_protein
Strep_C100752	Strep_C100752A23	3	0.0214285714285714	A0A0M4DUF8	A0A222T1W7	A0A7H8ZLZ1,A0A0U3MJ73,A0A0N6ZIC4	136	140	A0A0U3MJ73			Small ribosomal subunit protein uS2	GO:0006412;GO:0003735;GO:0022627	translation [GO:0006412]	structural constituent of ribosome [GO:0003735]	cytosolic small ribosomal subunit [GO:0022627]	alternative_protein_2
Strep_C101175	Strep_C101175A20	2	0.0142857142857142	A0A1D7VXY8	A0A385DH93	A0A7H8ZQH1,A0A1V0UFF3,A0A3S8VUK2	137	140	A0A1D7VXY8			Uncharacterized protein	GO:0005886			plasma membrane [GO:0005886]	dominant_protein
