genome	organism	origin_contig	origin_confidence	warnings	origin_position	chromosome_length	origin_relative_pos	origin_type	left_all_genes	left_all_leading	left_all_lagging	left_all_leading_prop	left_core_genes	left_core_leading	left_core_lagging	left_core_leading_prop	left_enrichment	left_pvalue_dir	left_pvalue_two	right_all_genes	right_all_leading	right_all_lagging	right_all_leading_prop	right_core_genes	right_core_leading	right_core_lagging	right_core_leading_prop	right_enrichment	right_pvalue_dir	right_pvalue_two	genome_M	genome_n_leading	genome_K_core	genome_x_core_leading	genome_pvalue	combined_enrichment	gtf_path	genome_q	sig_genome	combined_pvalue	combined_q	sig_combined	mean_enrichment
GCA_038070365.1	Streptomyces sp. M19 (high G+C Gram-positive bacteria)	JAMYWE010000001.1	pseudo_pseudo	dnaA pseudogene/partial used in pairing; dnaN pseudogene/partial used in pairing; No core proteins matched on origin contig — check ID mapping (protein_id vs Original_ID)	4389394	9058560	0.4845575897272856	central	2927	1654	1273	0.5650837034506321	0	0	0	0.0	-0.5650837034506321			3306	1792	1514	0.5420447670901392	0	0	0	0.0	-0.5420447670901392			6233	3446	0	0		-0.5528637895074603	gtf_oriented/GCA_038070365.1_oriented.gtf		False			False	-0.5535642352703856
GCF_000009765.2	Streptomyces avermitilis MA-4680 = NBRC 14893 (strain=MA-4680)	NC_003155.5	real_real		5288270	9024969	0.5859599074523136	central	4324	2431	1893	0.5622109158186864	288	178	110	0.6180555555555556	0.05584463973686915	0.02723340658673285	0.0544668131734657	3250	1827	1423	0.5621538461538461	356	279	77	0.7837078651685393	0.22155401901469318	2.1467263932472608e-20	4.2934527864945215e-20	7574	4258	644	457	6.743779876000156e-16	0.14744090194142434	gtf_oriented/GCF_000009765.2_oriented.gtf	1.0604593855010245e-15	True	6.743779876000156e-16	1.0604593855010245e-15	True	0.13869932937578117
GCF_000010605.1	Streptomyces griseus subsp. griseus NBRC 13350 (strain=NBRC 13350)	NC_010572.1	real_real		4324688	8544986	0.5061082604465356	central	3539	1945	1594	0.5495902797400396	324	229	95	0.7067901234567902	0.15719984371675055	9.225123620335348e-10	1.8450247240670697e-09	3390	1935	1455	0.5707964601769911	309	223	86	0.7216828478964401	0.15088638771944896	6.917868531013876e-09	1.3835737062027752e-08	6929	3880	633	452	4.794759790996122e-17	0.15409466862833754	gtf_oriented/GCF_000010605.1_oriented.gtf	1.2592500661948063e-16	True	4.794759790996122e-17	1.2592500661948063e-16	True	0.15404311571809975
GCF_000091305.1	Streptomyces scabiei 87.22 (strain=87.22)	NC_013929.1	real_real		5008549	10147337	0.49358260201666704	central	4281	2430	1851	0.5676243868255081	319	230	89	0.7210031347962382	0.15337874797073014	3.1589204128035397e-09	6.3178408256070795e-09	4284	2353	1931	0.5492530345471522	324	227	97	0.7006172839506173	0.15136424940346505	5.003040765313637e-09	1.0006081530627274e-08	8565	4783	643	457	1.213452968563971e-16	0.15229545539143985	gtf_oriented/GCF_000091305.1_oriented.gtf	2.66409046152439e-16	True	1.213452968563971e-16	2.66409046152439e-16	True	0.1523714986870976
GCF_000092385.1	Streptomyces bingchenggensis BCW-1 (strain=BCW-1)	NC_016582.1	real_real		6604286	11936622	0.5532793113495593	central	5208	2825	2383	0.5424347158218126	299	193	106	0.6454849498327759	0.10305023401096336	0.00012899701036402588	0.00025799402072805176	4490	2443	2047	0.544097995545657	303	232	71	0.7656765676567657	0.22157857211110876	1.220197270147412e-16	2.440394540294824e-16	9698	5268	602	425	2.5638081527312914e-17	0.16277528195353497	gtf_oriented/GCF_000092385.1_oriented.gtf	7.624753324198499e-17	True	2.5638081527312914e-17	7.624753324198499e-17	True	0.16231440306103606
GCF_000147815.2	Streptomyces violaceusniger Tu 4113 (strain=Tu 4113)	NC_015957.1	real_real		2242	10656820	0.000210381708614765	start	1	0	1	0.0	0	0	0	0.0	0.0			8576	4415	4161	0.5148087686567164	603	317	286	0.5257048092868989	0.010896040630182457	0.30408936473907167	0.6081787294781433	8577	4415	603	317	0.3030209661367188	0.01095606263888671	gtf_oriented/GCF_000147815.2_oriented.gtf	0.3086642715789411	False	0.3030209661367188	0.3086642715789411	False	0.005448020315091229
GCF_000177195.2	Streptomyces sp. SirexAA-E (strain=SirexAA-E)	NC_015953.1	real_real		3723465	7413697	0.5022413244026563	central	3173	1867	1306	0.5884021430822566	326	226	100	0.6932515337423313	0.1048493906600747	2.4681948547147972e-05	4.9363897094295945e-05	3208	1835	1373	0.5720074812967582	302	227	75	0.7516556291390728	0.17964814784231464	7.495707783178108e-12	1.4991415566356216e-11	6381	3702	628	453	9.018225156190171e-15	0.14117773006447287	gtf_oriented/GCF_000177195.2_oriented.gtf	1.0950701975373779e-14	True	9.018225156190171e-15	1.0950701975373779e-14	True	0.14224876925119467
GCF_000220705.2	Streptomyces xinghaiensis S187 (strain=S187)	NZ_CP023202.1	real_real		3546879	7137891	0.49690854063195977	central	2924	1714	1210	0.5861833105335157	325	229	96	0.7046153846153846	0.11843207408186895	1.9851729895352895e-06	3.970345979070579e-06	3005	1677	1328	0.5580698835274542	274	201	73	0.7335766423357665	0.17550675880831224	2.636922078557615e-10	5.27384415711523e-10	5929	3391	599	430	5.7512951131369025e-15	0.1459285462277462	gtf_oriented/GCF_000220705.2_oriented.gtf	7.271486685754998e-15	True	5.7512951131369025e-15	7.271486685754998e-15	True	0.1469694164450906
GCF_000261345.2	Streptomyces globisporus C-1027 (strain=C-1027)	NZ_CP013738.1	real_real		3639493	7606589	0.4784658406021411	central	3260	1867	1393	0.5726993865030675	323	228	95	0.7058823529411765	0.133182966438109	1.4833288590725076e-07	2.966657718145015e-07	3358	1916	1442	0.570577724836212	307	222	85	0.7231270358306189	0.15254931099440683	5.271186917625576e-09	1.0542373835251152e-08	6618	3783	630	450	6.155697304835336e-15	0.1426628675042093	gtf_oriented/GCF_000261345.2_oriented.gtf	7.720705094200252e-15	True	6.155697304835336e-15	7.720705094200252e-15	True	0.14286613871625792
GCF_000280865.2	Streptomyces auratus AGR0001 (strain=AGR0001)	NZ_CP072931.1	real_real		3891069	7901452	0.4924498687076755	central	3239	1770	1469	0.5464649583204693	268	170	98	0.6343283582089553	0.08786339988848602	0.0014796115796990345	0.002959223159398069	3346	1974	1372	0.5899581589958159	319	250	69	0.7836990595611285	0.19374090056531257	1.4221359726249902e-14	2.8442719452499803e-14	6585	3744	587	420	1.115860357568347e-14	0.14693763509292068	gtf_oriented/GCF_000280865.2_oriented.gtf	1.3330981289847868e-14	True	1.115860357568347e-14	1.3330981289847868e-14	True	0.1408021502268993
