gene	dominant_allele	dominant_count	dominant_frequency	dominant_proteins	cluster_representative	alternative_proteins	total_alleles	total_strains_with_gene
Strep_C0	Strep_C0A0	1	0.1111111111111111	WP_015508326.1	WP_015508326.1		1	1
Strep_C1	Strep_C1A0	1	0.1111111111111111	WP_015508322.1	WP_015508322.1		1	1
Strep_C10	Strep_C10A0	1	0.1111111111111111	WP_100216900.1	WP_100216900.1		1	1
Strep_C100	Strep_C100A0	1	0.1111111111111111	WP_369278240.1	WP_369278240.1		1	1
Strep_C1000	Strep_C1000A0	1	0.1111111111111111	WP_328836227.1	WP_328836227.1	WP_369279823.1,WP_237312981.1,WP_011030999.1	7	7
Strep_C10000	Strep_C10000A0	1	0.1111111111111111	WP_003948978.1	WP_003948978.1		1	1
Strep_C10001	Strep_C10001A3	2	0.2222222222222222	WP_003974987.1	WP_003949452.1	WP_328842230.1,WP_150474589.1,WP_045558464.1	8	9
Strep_C10002	Strep_C10002A0	1	0.1111111111111111	WP_003949772.1	WP_003949772.1		1	1
Strep_C10003	Strep_C10003A0	1	0.1111111111111111	WP_328734138.1	WP_003951309.1	WP_003972130.1,WP_011031380.1	4	3
Strep_C10004	Strep_C10004A1	2	0.2222222222222222	WP_003976390.1	WP_003951416.1		2	3
Strep_C10005	Strep_C10005A0	1	0.1111111111111111	WP_328842155.1	WP_015507792.1	WP_150472476.1,WP_003974076.1,WP_193382492.1	8	8
Strep_C10006	Strep_C10006A0	1	0.1111111111111111	WP_015508245.1	WP_015508245.1		1	1
Strep_C10007	Strep_C10007A0	1	0.1111111111111111	WP_015508307.1	WP_015508307.1		1	1
Strep_C10008	Strep_C10008A0	1	0.1111111111111111	WP_030307454.1	WP_030307454.1		1	1
Strep_C10009	Strep_C10009A0	1	0.1111111111111111	WP_369279524.1	WP_003972905.1	WP_011030598.1	3	3
Strep_C1001	Strep_C1001A0	1	0.1111111111111111	WP_015507540.1	WP_015507540.1		1	1
Strep_C10010	Strep_C10010A0	2	0.2222222222222222	WP_003975178.1	WP_003975178.1	WP_192366086.1	2	3
Strep_C10011	Strep_C10011A0	1	0.1111111111111111	WP_003976183.1	WP_003976183.1	WP_011028456.1	2	2
