gene	dominant_allele	dominant_count	dominant_frequency	dominant_proteins	cluster_representative	alternative_proteins	total_alleles	total_strains_with_gene
Strep_C100335	Strep_C100335A0	1	0.007142857142857143	D7BX01	A0A0F7MYS4	Q827W6,S5URH0,A0A5P9WU64	138	138
Strep_C100456	Strep_C100456A15	2	0.014285714285714285	A0A0F7VQ87	A0A1D8G4M5	A0A7H8ZRG7,A0A1V0UEE5,D7BQK5	137	139
Strep_C100687	Strep_C100687A17	5	0.03571428571428571	A0A5P2DLZ8	D7BQU5	A0A1S6J8I1,A0A5P9WKW7,A0A346C4Z6	105	140
Strep_C100853	Strep_C100853A19	2	0.014285714285714285	A0A0M4DGB4	A0A1Z1W823	A0A1V0U7E8,A0A7H8ZX18,D7CI94	138	140
Strep_C10107	Strep_C10107A0	1	0.007142857142857143	D7BYV1	A0A1Z1W786	Q828C6,S5VD85,A0A5J6HVJ7	140	140
Strep_C10124	Strep_C10124A23	2	0.014285714285714285	A0A1L6PLH0	A0A7R8NQY6	A0A3S8XQI3,A0A0N6W5F0,A0A1V0UE13	135	140
Strep_C101723	Strep_C101723A38	2	0.014285714285714285	A0A7H8ZR40	A0A1L7GH79	D7CAK1,Q82F81,S5VQS9	138	139
Strep_C102564	Strep_C102564A38	2	0.014285714285714285	A0A7H8ZUT3	A0A7G3UGW6	D7CHV2,Q82E61,S5UV33	138	139
Strep_C103276	Strep_C103276A17	2	0.014285714285714285	A0A3G4VU46	A0A5P2W8R0	A0A1V0UE33,A0A7H8ZPU8,A0A6N9VAI3	130	133
Strep_C103400	Strep_C103400A6	2	0.014285714285714285	A0A222STD6	A0A7G1P7U9	D7CGT5,Q829T8,S5USL5	139	140
Strep_C103413	Strep_C103413A24	2	0.014285714285714285	A0A5P9WZ78	A0A7R8NNW7	A0A1V0UBM9,A0A7H8ZV02,G2P055	139	138
Strep_C103467	Strep_C103467A15	2	0.014285714285714285	A0A0F7W6T6	N0CR62	A0A0F7MYT6,A0A3S8VJZ8,A0A1W5Z6Y3	132	140
Strep_C103468	Strep_C103468A15	2	0.014285714285714285	A0A0F7VPG7	N0CU99	A0A1W5XSY7,A0A1D7VT96,A0A516RCU3	136	139
Strep_C103739	Strep_C103739A44	6	0.04285714285714286	A0A291QGV6	A0A6I6WT02	A0A6G5RKI5,A0A7G1NKW5,A0A3G4W3H8	126	139
Strep_C103901	Strep_C103901A16	2	0.014285714285714285	A0A0F7N0Z2	B1W1Y0	A0A3G4VRX3,B4VFW4,A0A1V0U7B7	134	138
Strep_C103920	Strep_C103920A18	2	0.014285714285714285	A0A0G3UH71	N0CKQ1	A0A7H8ZXN0,A0A1V0U4W5,D7BRI8	134	136
Strep_C104126	Strep_C104126A22	2	0.014285714285714285	A0A1L6PL73	A0A3G4VW05	A0A1V0UDH6,A0A7H8ZS60,A0A6N9VA78	136	139
Strep_C104419	Strep_C104419A33	3	0.02142857142857143	A0A7G6XN80	S5UPU3	A0A1V0U848,A0A7H8ZWS9,A0A516R613	133	138
Strep_C105493	Strep_C105493A38	2	0.014285714285714285	A0A1V0U5Z2	A0A3Q9G3Z7	D7BY05,Q827B5,S5UQS6	137	138
