gene	dominant_allele	dominant_count	dominant_frequency	dominant_proteins	cluster_representative	alternative_proteins	total_alleles	total_strains_with_gene
Strep_C0	Strep_C0A103	2	0.014285714285714285	A0A7H8ZN19	A0A6I6SBA6	A0A7G6XFG5,A0A1L7GKB0,B4V1Y1	132	137
Strep_C100011	Strep_C100011A0	1	0.007142857142857143	N0D434	N0D434	A0A0U3EI53,A0A0K2B066,A0A7T1T4F7	141	140
Strep_C100250	Strep_C100250A0	1	0.007142857142857143	A0A0N6ZR64	A0A0N6ZR64	A0A0K2AS86,A0A0B5DK88,A0A6I6N969	140	140
Strep_C100280	Strep_C100280A176	2	0.014285714285714285	A0A6N9VBC3	A0A143CB77	A0A3G4VT61,A0A0G3UKL7,A0A5P9WF98	388	140
Strep_C100409	Strep_C100409A151	2	0.014285714285714285	A0A0N6ZIB0	A0A1D7VY67	A0A516RE49,A0A1W5XZW4,A0A1B1B1I4	248	140
Strep_C100411	Strep_C100411A0	1	0.007142857142857143	A0A1D7VYS0	A0A1D7VYS0	A0A1W5Y063,A0A4Q7ERM0,A0A7G3UFK8	163	140
Strep_C100514	Strep_C100514A0	1	0.007142857142857143	A0A1U9QMZ9	A0A1U9QMZ9	A0A6C0QBT3,A0A191UTC2,A0A3Q9C1A2	194	140
Strep_C100719	Strep_C100719A202	2	0.014285714285714285	A0A516RCM0	A0A222SLM5	N0CNL1,A0A6N9V9E5,A0A1W5YZE7	1775	140
Strep_C100752	Strep_C100752A23	3	0.02142857142857143	A0A0M4DUF8	A0A222T1W7	A0A7H8ZLZ1,A0A0U3MJ73,A0A0N6ZIC4	136	140
Strep_C101175	Strep_C101175A20	2	0.014285714285714285	A0A1D7VXY8	A0A385DH93	A0A7H8ZQH1,A0A1V0UFF3,A0A3S8VUK2	137	140
Strep_C101317	Strep_C101317A25	2	0.014285714285714285	A0A1W5XU11	A0A3Q8V9J2	A0A7H8ZM14,A0A1V0UH05,A0A2S1SXN2	149	140
Strep_C101439	Strep_C101439A0	1	0.007142857142857143	A0A3S8XK78	A0A3S8XK78	A0A0F7N5N5,A0A0K2ASZ0,Q82DD1	163	140
Strep_C10147	Strep_C10147A125	3	0.02142857142857143	A0A1L6PU83	A0A2N9B795	A0A3G4W3Z3,B4V949,A0A6N9V9Y3	135	140
Strep_C101699	Strep_C101699A1613	2	0.014285714285714285	N0D1I6	A0A5P2BSF2	A0A5P9WF18,A0A0N6ZFJ4,A0A5P9WF92	4817	140
Strep_C1018	Strep_C1018A776	2	0.014285714285714285	A0A0F7N1M3	A0A494V6S0	A0A0U3G2G9,A0A2U9PAG2,A0A0K2B2T3	877	140
Strep_C101845	Strep_C101845A175	2	0.014285714285714285	A0A3G4VPZ6	A0A5P9WE78	A0A0C5FZ36,A0A2U9PDA3,A0A344U499	399	140
Strep_C101955	Strep_C101955A134	2	0.014285714285714285	A0A1V0UKG3	A0A6G9FKQ6	B4VCS8,A0A3G4W1I6,A0A0C5G977	251	140
Strep_C102318	Strep_C102318A13	2	0.014285714285714285	A0A1L6PFW1	A0A7G7BH23	A0A0F7N9D5,A0A2K9EZ47,A0A0U3F3B5	198	139
Strep_C102576	Strep_C102576A128	2	0.014285714285714285	B4V4W2	A0A7H0NM69	A0A6N9VCT8,N0CUS1,A0A0M4DIR6	173	139
Strep_C102810	Strep_C102810A54	2	0.014285714285714285	A0A0M4DM21	A0A7H1QB78	A0A0U3GHY2,A0A387HRP6,A0A5P2D8A3	165	140
Strep_C102904	Strep_C102904A0	1	0.007142857142857143	A0A7H8INC5	A0A7H8INC5	A0A1H4Q0H8,A0A2S1STQ3,A0A7D5VD87	139	139
Strep_C103003	Strep_C103003A191	32	0.22857142857142856	A0A0K2AT25	A0A7H8JTA3	A0A3G4VWM6,A0A1L7GEU2,A0A6I6RY21	219	140
Strep_C103210	Strep_C103210A0	1	0.007142857142857143	A0A7H8T0W2	A0A7H8T0W2	A0A1W7CU92,A0A0F7VVP1,A0A7H0HY56	150	140
Strep_C1034	Strep_C1034A0	131	0.9357142857142857	A0A2S1SVW1	A0A4P6TWU9	A0A1I6NUM1,A0A1W7CW59,A0A0F7FX98	5	139
Strep_C103411	Strep_C103411A15	2	0.014285714285714285	A0A1H4QIV8	A0A2Z5JRI7	A0A1L6PJY8,A0A0U3K821,A0A1B1MES3	222	139
Strep_C103660	Strep_C103660A20	2	0.014285714285714285	A0A1U9P166	A0A346C4T0	A0A7H8ZQB2,A0A1V0UEY4,A0A1W5YZI6	133	138
Strep_C10379	Strep_C10379A158	2	0.014285714285714285	A0A7H8ZYQ2	A0A2S1SQT4	A0A0U3FDA8,A0A0G3UGU2,A0A6M4WL84	170	138
Strep_C10409	Strep_C10409A138	2	0.014285714285714285	A0A516RB87	A0A2S1SXR5	A0A1V0UDX9,A0A7H8ZSF5,A0A3G4W1L2	203	138
Strep_C104289	Strep_C104289A400	2	0.014285714285714285	N0CIV7	A0A7H0HRM6	A0A5J6HZM9,A0A7T1WST5,A0A0U3F2E2	418	140
Strep_C104381	Strep_C104381A0	1	0.007142857142857143	A0A7H1PVA5	A0A7H1PVA5	A0A387HB71,A0A7H8MYF1,A0A6I6MYM1	166	139
