strain_id	organism	missing_gene_count	incomplete_bp_clusters_count	incomplete_mf_clusters_count	incomplete_bp_clusters	incomplete_mf_clusters
UP000034034	Streptomyces xiamenensis	52	15	41	tricarboxylic acid cycle; 'de novo' pyrimidine nucleobase biosynthetic process; cell wall organization; cell redox homeostasis; translation; rRNA 5'-end processing; cobalamin biosynthetic process; regulation of cell shape; methylation; butyrate catabolic process; phosphorelay signal transduction system; regulation of DNA-templated transcription; urate catabolic process; response to antibiotic; fatty acid biosynthetic process	iron ion binding; phosphatase activity; 4 iron, 4 sulfur cluster binding; transcription cis-regulatory region binding; 3-hydroxyacyl-CoA dehydrogenase activity; hydrolase activity; DNA-binding transcription factor activity; NAD+ binding; ATP binding; ligase activity; lyase activity; metal ion binding; hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides; sodium:proton antiporter activity; P-type divalent copper transporter activity; FAD binding; proton-transporting ATP synthase activity, rotational mechanism; phosphorelay sensor kinase activity; acid-amino acid ligase activity; catalytic activity; methyltransferase activity; transferase activity; cobaltochelatase activity; phenylacetate-CoA ligase activity; ATP hydrolysis activity; magnesium ion binding; structural constituent of ribosome; heme binding; DNA binding; undecaprenyl-diphosphatase activity; hydrolase activity, acting on ester bonds; nucleic acid binding; precorrin-6A synthase (deacetylating) activity; 3'-5' exonuclease activity; 2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase activity; nuclease activity; corrinoid adenosyltransferase activity; methylmalonyl-CoA mutase activity; cobalt ion binding; magnesium ion transmembrane transporter activity; oxidoreductase activity
UP000509706	Streptomyces harbinensis	51	14	40	tricarboxylic acid cycle; 'de novo' pyrimidine nucleobase biosynthetic process; cell wall organization; cell redox homeostasis; cobalamin biosynthetic process; regulation of cell shape; methylation; butyrate catabolic process; phosphorelay signal transduction system; regulation of DNA-templated transcription; urate catabolic process; rescue of stalled ribosome; response to antibiotic; fatty acid biosynthetic process	iron ion binding; phosphatase activity; 4 iron, 4 sulfur cluster binding; transcription cis-regulatory region binding; 3-hydroxyacyl-CoA dehydrogenase activity; GTP binding; hydrolase activity; DNA-binding transcription factor activity; NAD+ binding; ATP binding; ligase activity; lyase activity; metal ion binding; hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides; sodium:proton antiporter activity; P-type divalent copper transporter activity; FAD binding; proton-transporting ATP synthase activity, rotational mechanism; phosphorelay sensor kinase activity; catalytic activity; methyltransferase activity; transferase activity; cobaltochelatase activity; phenylacetate-CoA ligase activity; ATP hydrolysis activity; translation elongation factor activity; magnesium ion binding; heme binding; DNA binding; undecaprenyl-diphosphatase activity; nucleic acid binding; precorrin-6A synthase (deacetylating) activity; 3'-5' exonuclease activity; 2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase activity; arginine deiminase activity; corrinoid adenosyltransferase activity; methylmalonyl-CoA mutase activity; cobalt ion binding; magnesium ion transmembrane transporter activity; oxidoreductase activity
UP000194218	Streptomyces marincola	51	20	38	'de novo' pyrimidine nucleobase biosynthetic process; phosphate ion transmembrane transport; cell wall organization; rescue of stalled ribosome; tricarboxylic acid cycle; glycine biosynthetic process, by transamination of glyoxylate; proteolysis; cell redox homeostasis; thiamine transport; regulation of DNA-templated transcription; phenylacetate catabolic process; fatty acid biosynthetic process; folic acid biosynthetic process; DNA replication; phosphoenolpyruvate-dependent sugar phosphotransferase system; urate catabolic process; translation; DNA repair; methylation; intracellular manganese ion homeostasis	phosphatase activity; 4 iron, 4 sulfur cluster binding; transcription cis-regulatory region binding; tryptophan 2,3-dioxygenase activity; large ribosomal subunit rRNA binding; 3-hydroxyacyl-CoA dehydrogenase activity; GTP binding; hydrolase activity; DNA-binding transcription factor activity; NAD+ binding; pyridoxal phosphate binding; lyase activity; metal ion binding; metallopeptidase activity; sodium:proton antiporter activity; P-type divalent copper transporter activity; proton-transporting ATP synthase activity, rotational mechanism; fumarate hydratase activity; phosphorelay sensor kinase activity; catalytic activity; protein homodimerization activity; methyltransferase activity; transferase activity; RNA ligase (GTP) activity; phenylacetate-CoA ligase activity; ATP hydrolysis activity; translation elongation factor activity; structural constituent of ribosome; acyltransferase activity, transferring groups other than amino-acyl groups; heme binding; thiamine binding; phosphoribosylglycinamide formyltransferase activity; L-lysine 6-monooxygenase (NADPH) activity; 2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase activity; phosphate transmembrane transporter activity; arginine deiminase activity; magnesium ion transmembrane transporter activity; ATP binding
UP000500986	Streptomyces sp. Tu 2975	39	25	45	'de novo' pyrimidine nucleobase biosynthetic process; lipid metabolic process; regulation of translational fidelity; glutamyl-tRNA aminoacylation; tRNA processing; tricarboxylic acid cycle; glycerol metabolic process; L-serine catabolic process; regulation of DNA-templated transcription; protein targeting; fructose 1,6-bisphosphate metabolic process; glutaminyl-tRNAGln biosynthesis via transamidation; iron-sulfur cluster assembly; cell division; transcription-coupled nucleotide-excision repair, DNA damage recognition; protein unfolding; cobalamin biosynthetic process; translation; DNA repair; 'de novo' IMP biosynthetic process; carbohydrate metabolic process; 'de novo' cotranslational protein folding; methylation; intracellular manganese ion homeostasis; gluconeogenesis	helicase activity; 4 iron, 4 sulfur cluster binding; acetoacetate-CoA ligase activity; NAD binding; GTP binding; hydrolase activity; tRNA binding; ligase activity; pyridoxal phosphate binding; metal ion binding; oxidoreductase activity, acting on the CH-NH2 group of donors, NAD or NADP as acceptor; ATP-dependent FeS chaperone activity; phosphopentomutase activity; P-type divalent copper transporter activity; glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity; fumarate hydratase activity; damaged DNA binding; catalytic activity; protein homodimerization activity; methyltransferase activity; transferase activity; cobaltochelatase activity; tryptophan synthase activity; ATP hydrolysis activity; magnesium ion binding; structural constituent of ribosome; ligase activity, forming carbon-nitrogen bonds; acyltransferase activity, transferring groups other than amino-acyl groups; 3'-5' DNA helicase activity; glutamate-tRNA ligase activity; nucleotidyltransferase activity; fructose 1,6-bisphosphate 1-phosphatase activity; ribosome binding; protein folding chaperone; nucleic acid binding; ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor; four-way junction DNA binding; peptidyl-prolyl cis-trans isomerase activity; metalloaminopeptidase activity; arginine deiminase activity; zinc ion binding; phosphoglycerate dehydrogenase activity; glycine binding; rRNA binding; ATP binding
UP000515544	Streptomyces sp. SCUT-3	36	19	32	'de novo' pyrimidine nucleobase biosynthetic process; phosphorelay signal transduction system; response to antibiotic; modification-dependent protein catabolic process; oxaloacetate metabolic process; proteolysis; DNA-templated DNA replication; cell redox homeostasis; secondary metabolite biosynthetic process; regulation of DNA-templated transcription; lysyl-tRNA aminoacylation; cobalamin biosynthetic process; urate catabolic process; lysine biosynthetic process via diaminopimelate; protein folding; DNA repair; 'de novo' IMP biosynthetic process; methylation; allantoin catabolic process	4 iron, 4 sulfur cluster binding; transcription cis-regulatory region binding; DNA-directed DNA polymerase activity; lysine-tRNA ligase activity; hydrolase activity; DNA-binding transcription factor activity; tRNA binding; methylated-DNA-[protein]-cysteine S-methyltransferase activity; ligase activity; orotidine-5'-phosphate decarboxylase activity; metal ion binding; hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides; sodium:proton antiporter activity; ATP-dependent peptidase activity; phosphorelay sensor kinase activity; serine-type endopeptidase activity; catalytic activity; threonine-type endopeptidase activity; transferase activity; cobaltochelatase activity; ATP hydrolysis activity; magnesium ion binding; urate oxidase activity; DNA binding; transmembrane transporter activity; nucleic acid binding; 3'-5' exonuclease activity; peptidase activity; peptidyl-prolyl cis-trans isomerase activity; arginine deiminase activity; zinc ion binding; ATP binding
UP000278047	Streptomyces sp. WAC 06738	28	16	29	tricarboxylic acid cycle; signal peptide processing; glycogen catabolic process; 'de novo' IMP biosynthetic process; D-gluconate metabolic process; negative regulation of DNA-templated transcription; lipoprotein biosynthetic process; heme B biosynthetic process; methylation; rescue of stalled ribosome; regulation of DNA-templated transcription; RNA processing; DNA-templated transcription termination; RNA repair; modification-dependent protein catabolic process; fatty acid biosynthetic process	iron ion binding; 4 iron, 4 sulfur cluster binding; transcription cis-regulatory region binding; GTP binding; cation binding; phosphogluconate dehydrogenase (decarboxylating) activity; metal ion binding; hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides; stearoyl-[ACP] desaturase activity; RNA binding; electron transfer activity; chlorite O2-lyase activity; phosphorelay sensor kinase activity; serine-type endopeptidase activity; methyltransferase activity; oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor; amylo-alpha-1,6-glucosidase activity; RNA ligase (GTP) activity; ATP hydrolysis activity; translation elongation factor activity; hydrolase activity, hydrolyzing O-glycosyl compounds; heme binding; NADP binding; ribosome binding; DNA binding; 1,4-alpha-glucan branching enzyme activity; oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor; N-acyltransferase activity; ATP binding
UP000195880	Streptomyces alboflavus	23	15	31	lysine biosynthetic process via diaminopimelate; UDP-N-acetylglucosamine biosynthetic process; tricarboxylic acid cycle; proteolysis; protein-DNA covalent cross-linking repair; translation; DNA repair; 'de novo' IMP biosynthetic process; carbohydrate metabolic process; cobalamin biosynthetic process; L-serine catabolic process; SOS response; rescue of stalled ribosome; protoporphyrinogen IX biosynthetic process from glutamate; fatty acid biosynthetic process	4 iron, 4 sulfur cluster binding; 1-deoxy-D-xylulose-5-phosphate reductoisomerase activity; excinuclease ABC activity; GTP binding; single-stranded DNA binding; N-acetylglucosamine-6-phosphate deacetylase activity; glycosyltransferase activity; isomerase activity; lyase activity; phosphotransferase activity, for other substituted phosphate groups; metal ion binding; hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides; stearoyl-[ACP] desaturase activity; phosphopentomutase activity; NADPH binding; FAD binding; manganese ion binding; catalytic activity; transferase activity; uroporphyrinogen decarboxylase activity; ATP hydrolysis activity; translation elongation factor activity; magnesium ion binding; structural constituent of ribosome; 5S rRNA binding; DNA binding; phosphoribosylglycinamide formyltransferase activity; glutamate 5-kinase activity; peptidase activity; metalloaminopeptidase activity; ATP binding
UP000464107	Streptomyces sp. NHF165	19	11	25	proteolysis; DNA-templated DNA replication; cell redox homeostasis; DNA repair; regulation of nitrogen utilization; phosphate ion transmembrane transport; 'de novo' IMP biosynthetic process; SOS response; L-serine catabolic process; methylation; fatty acid biosynthetic process	iron ion binding; 4 iron, 4 sulfur cluster binding; DNA-directed DNA polymerase activity; L-phosphoserine phosphatase activity; excinuclease ABC activity; DNA-binding transcription factor activity; metal ion binding; anti-sigma factor antagonist activity; metallopeptidase activity; stearoyl-[ACP] desaturase activity; electron transfer activity; phosphorelay sensor kinase activity; methyltransferase activity; 3'-nucleotidase activity; bis(5'-nucleosyl)-tetraphosphatase (asymmetrical) activity; ATP hydrolysis activity; magnesium ion binding; DNA binding; nucleic acid binding; 2',3'-cyclic-nucleotide 2'-phosphodiesterase activity; 3'-5' exonuclease activity; protein-disulfide reductase (NAD(P)H) activity; phosphate transmembrane transporter activity; zinc ion binding; ATP binding
UP000233829	Streptomyces sp. CMB-StM0423	19	10	18	glycogen catabolic process; 'de novo' IMP biosynthetic process; DNA topological change; negative regulation of DNA-templated transcription; lipoprotein biosynthetic process; methylation; RNA processing; DNA-templated transcription termination; RNA repair; fatty acid biosynthetic process	metal ion binding; iron ion binding; 4 iron, 4 sulfur cluster binding; 1,4-alpha-glucan branching enzyme activity; hydrolase activity, hydrolyzing O-glycosyl compounds; stearoyl-[ACP] desaturase activity; RNA binding; DNA negative supercoiling activity; amylo-alpha-1,6-glucosidase activity; RNA ligase (GTP) activity; GTP binding; electron transfer activity; N-acyltransferase activity; cation binding; DNA binding; ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor; methyltransferase activity; ATP binding
UP000595046	Streptomyces bathyalis	17	9	12	proteolysis; DNA-templated DNA replication; cell redox homeostasis; DNA repair; DNA topological change; carbohydrate metabolic process; phosphorelay signal transduction system; regulation of DNA-templated transcription; fatty acid biosynthetic process	metal ion binding; oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor; metallopeptidase activity; hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides; sodium:proton antiporter activity; DNA negative supercoiling activity; stearoyl-[ACP] desaturase activity; FMN binding; hydrolase activity; phosphorelay sensor kinase activity; DNA binding; ATP binding
