Original_ID	New_ID	Cluster_ID	Allele_Number	representative
WP_015508326.1	Strep_C0A0	Strep_C0	0	True
WP_015508322.1	Strep_C1A0	Strep_C1	0	True
WP_328840508.1	Strep_C2A0	Strep_C2	0	True
WP_369276981.1	Strep_C3A0	Strep_C3	0	True
WP_010357633.1	Strep_C4A0	Strep_C4	0	True
WP_015508323.1	Strep_C5A0	Strep_C5	0	True
WP_369279964.1	Strep_C6A0	Strep_C6	0	True
WP_015507662.1	Strep_C7A0	Strep_C7	0	True
WP_011028842.1	Strep_C8A0	Strep_C8	0	True
WP_319167074.1	Strep_C9A0	Strep_C9	0	True
WP_100216900.1	Strep_C10A0	Strep_C10	0	True
WP_369279963.1	Strep_C11A0	Strep_C11	0	True
WP_328841107.1	Strep_C12A0	Strep_C12	0	False
WP_013005930.1	Strep_C12A1	Strep_C12	1	True
WP_237311943.1	Strep_C13A0	Strep_C13	0	False
WP_192361929.1	Strep_C13A1	Strep_C13	1	True
WP_422397804.1	Strep_C14A0	Strep_C14	0	True
WP_369276881.1	Strep_C15A0	Strep_C15	0	True
WP_015507664.1	Strep_C16A0	Strep_C16	0	True
WP_237311481.1	Strep_C17A0	Strep_C17	0	False
WP_049875640.1	Strep_C17A1	Strep_C17	1	False
WP_192363993.1	Strep_C17A2	Strep_C17	2	True
WP_015508325.1	Strep_C18A0	Strep_C18	0	True
WP_328838904.1	Strep_C19A0	Strep_C19	0	True
WP_369279971.1	Strep_C20A0	Strep_C20	0	True
WP_059044127.1	Strep_C21A0	Strep_C21	0	True
WP_013005780.1	Strep_C22A0	Strep_C22	0	True
WP_013005778.1	Strep_C23A0	Strep_C23	0	True
WP_369276884.1	Strep_C24A0	Strep_C24	0	True
WP_013005777.1	Strep_C25A0	Strep_C25	0	True
WP_319166393.1	Strep_C26A0	Strep_C26	0	True
WP_141655531.1	Strep_C27A0	Strep_C27	0	True
WP_338714886.1	Strep_C28A0	Strep_C28	0	True
WP_237313160.1	Strep_C29A0	Strep_C29	0	True
WP_369277250.1	Strep_C30A0	Strep_C30	0	True
WP_011030787.1	Strep_C31A0	Strep_C31	0	True
WP_275874891.1	Strep_C32A0	Strep_C32	0	True
WP_275874960.1	Strep_C33A0	Strep_C33	0	True
WP_369277467.1	Strep_C34A0	Strep_C34	0	True
WP_328842416.1	Strep_C35A0	Strep_C35	0	True
WP_272897480.1	Strep_C36A0	Strep_C36	0	True
WP_328838004.1	Strep_C37A0	Strep_C37	0	True
WP_015507663.1	Strep_C38A0	Strep_C38	0	True
WP_013002070.1	Strep_C39A0	Strep_C39	0	True
WP_328840504.1	Strep_C40A0	Strep_C40	0	True
WP_328840499.1	Strep_C41A0	Strep_C41	0	True
WP_015506967.1	Strep_C42A0	Strep_C42	0	True
WP_015507661.1	Strep_C43A0	Strep_C43	0	True
WP_237313195.1	Strep_C44A0	Strep_C44	0	True
WP_013005779.1	Strep_C45A0	Strep_C45	0	True
WP_338714884.1	Strep_C46A0	Strep_C46	0	True
WP_443033247.1	Strep_C47A0	Strep_C47	0	True
WP_010356043.1	Strep_C48A0	Strep_C48	0	True
WP_192365682.1	Strep_C49A0	Strep_C49	0	True
WP_319166972.1	Strep_C50A0	Strep_C50	0	True
WP_275874890.1	Strep_C51A0	Strep_C51	0	True
WP_328836722.1	Strep_C52A0	Strep_C52	0	True
WP_443033248.1	Strep_C53A0	Strep_C53	0	True
WP_011028843.1	Strep_C54A0	Strep_C54	0	True
WP_369277180.1	Strep_C55A0	Strep_C55	0	False
WP_016325138.1	Strep_C55A1	Strep_C55	1	True
WP_011027156.1	Strep_C55A2	Strep_C55	2	False
WP_029184280.1	Strep_C56A0	Strep_C56	0	True
WP_015506678.1	Strep_C57A0	Strep_C57	0	True
WP_003946491.1	Strep_C58A0	Strep_C58	0	True
WP_010356032.1	Strep_C59A0	Strep_C59	0	True
WP_015507581.1	Strep_C60A0	Strep_C60	0	True
WP_003951361.1	Strep_C61A0	Strep_C61	0	True
WP_328840509.1	Strep_C62A0	Strep_C62	0	True
WP_100216714.1	Strep_C63A0	Strep_C63	0	True
WP_328840517.1	Strep_C64A0	Strep_C64	0	True
WP_192359489.1	Strep_C65A0	Strep_C65	0	True
WP_237312927.1	Strep_C66A0	Strep_C66	0	True
WP_459565536.1	Strep_C67A0	Strep_C67	0	True
WP_003952144.1	Strep_C68A0	Strep_C68	0	True
WP_015508346.1	Strep_C69A0	Strep_C69	0	True
WP_237312238.1	Strep_C70A0	Strep_C70	0	True
WP_369276885.1	Strep_C71A0	Strep_C71	0	True
WP_328841763.1	Strep_C72A0	Strep_C72	0	True
WP_015508347.1	Strep_C73A0	Strep_C73	0	True
WP_015508335.1	Strep_C74A0	Strep_C74	0	True
WP_369276886.1	Strep_C75A0	Strep_C75	0	True
WP_237312349.1	Strep_C76A0	Strep_C76	0	True
WP_041670164.1	Strep_C77A0	Strep_C77	0	True
WP_422397820.1	Strep_C78A0	Strep_C78	0	True
WP_013005375.1	Strep_C79A0	Strep_C79	0	True
WP_328840569.1	Strep_C80A0	Strep_C80	0	True
WP_010350108.1	Strep_C81A0	Strep_C81	0	True
WP_369278558.1	Strep_C82A0	Strep_C82	0	True
WP_010356048.1	Strep_C83A0	Strep_C83	0	True
WP_075693137.1	Strep_C84A0	Strep_C84	0	True
WP_010349998.1	Strep_C85A0	Strep_C85	0	True
WP_223786361.1	Strep_C86A0	Strep_C86	0	True
WP_013005376.1	Strep_C87A0	Strep_C87	0	True
WP_328837337.1	Strep_C88A0	Strep_C88	0	False
WP_013001284.1	Strep_C88A1	Strep_C88	1	True
WP_011028844.1	Strep_C89A0	Strep_C89	0	True
WP_237313337.1	Strep_C90A0	Strep_C90	0	False
WP_275874922.1	Strep_C90A1	Strep_C90	1	True
