gene	dominant_allele	dominant_count	dominant_frequency	dominant_proteins	cluster_representative	alternative_proteins	total_alleles	total_strains_with_gene
Strep_C0	Strep_C0A103	2	0.014285714285714285	A0A7H8ZN19	A0A6I6SBA6	A0A7G6XFG5,A0A1L7GKB0,B4V1Y1	132	137
Strep_C1	Strep_C1A0	1	0.007142857142857143	A0A6I6SBB6	A0A6I6SBB6		1	1
Strep_C10	Strep_C10A0	1	0.007142857142857143	A0A6I6SBG3	A0A6I6SBG3		1	1
Strep_C100	Strep_C100A0	1	0.007142857142857143	A0A7G1NAK9	A0A7G1NAK9		1	1
Strep_C1000	Strep_C1000A0	1	0.007142857142857143	A0A494UXY9	A0A494UXY9		1	1
Strep_C10000	Strep_C10000A0	1	0.007142857142857143	A0A2K8PEH1	A0A2K8PEH1	A0A5P2DPC5	2	2
Strep_C100000	Strep_C100000A0	1	0.007142857142857143	N0CZD6	N0CZD6	A0A1W5Z931	2	2
Strep_C100001	Strep_C100001A0	1	0.007142857142857143	N0CZE4	N0CZE4		1	1
Strep_C100002	Strep_C100002A0	1	0.007142857142857143	N0CZE8	N0CZE8	A0A7H8MRK4,A0A1W5Z0E8,A0A0M5IWU9	4	4
Strep_C100003	Strep_C100003A0	2	0.014285714285714285	A0A6N9VPQ7	N0CZF1		1	2
Strep_C100004	Strep_C100004A0	1	0.007142857142857143	N0CZF2	N0CZF2	A0A7H8MWU4	2	2
Strep_C100005	Strep_C100005A0	1	0.007142857142857143	N0CZF4	N0CZF4		1	1
Strep_C100006	Strep_C100006A0	1	0.007142857142857143	N0CZI8	N0CZI8		1	1
Strep_C100007	Strep_C100007A0	1	0.007142857142857143	N0CZL0	N0CZL0		1	1
Strep_C100008	Strep_C100008A0	1	0.007142857142857143	N0D3U8	N0D3U8		1	1
Strep_C100009	Strep_C100009A0	1	0.007142857142857143	N0D3Z1	N0D3Z1		1	1
Strep_C10001	Strep_C10001A0	1	0.007142857142857143	A0A2K8PEI2	A0A2K8PEI2		1	1
Strep_C100010	Strep_C100010A0	1	0.007142857142857143	N0D412	N0D412	A0A0U3G2J3,A0A1D7Y897,A0A1Z2KZH8	20	20
Strep_C100011	Strep_C100011A0	1	0.007142857142857143	N0D434	N0D434	A0A0U3EI53,A0A0K2B066,A0A7T1T4F7	141	140
Strep_C100012	Strep_C100012A0	1	0.007142857142857143	N0D437	N0D437		1	1
