Proteome Id	Organism	Organism Id	Protein count	BUSCO	CPD	Genome assembly ID	Genome representation
GCF_003208035.1	Streptomyces actuosus (strain=ATCC 25421)	1885	7186	Unknown	Unknown	GCF_003208035.1	full
GCF_000359525.1	Streptomyces albidoflavus (strain=J1074)	1886	5794	Unknown	Unknown	GCF_000359525.1	full
GCF_001577385.1	Streptomyces albidoflavus (strain=SM254)	1886	6105	Unknown	Unknown	GCF_001577385.1	full
GCF_013693715.1	Streptomyces albidoflavus (strain=J1074/R2)	1886	5835	Unknown	Unknown	GCF_013693715.1	full
GCF_015601545.1	Streptomyces albidoflavus (strain=W68)	1886	5639	Unknown	Unknown	GCF_015601545.1	full
GCF_026635925.1	Streptomyces albidoflavus (strain=J1074_D14)	1886	5603	Unknown	Unknown	GCF_026635925.1	full
GCF_030345275.1	Streptomyces albidoflavus (strain=MGMM6)	1886	5862	Unknown	Unknown	GCF_030345275.1	full
GCF_034479045.1	Streptomyces albidoflavus (strain=ATCC 23899)	1886	6015	Unknown	Unknown	GCF_034479045.1	full
GCF_035955795.1	Streptomyces albidoflavus (strain=NBC_01331)	1886	6180	Unknown	Unknown	GCF_035955795.1	full
GCF_036238395.1	Streptomyces albidoflavus (strain=NBC_01271)	1886	5892	Unknown	Unknown	GCF_036238395.1	full
GCF_036239155.1	Streptomyces albidoflavus (strain=NBC_01270)	1886	5931	Unknown	Unknown	GCF_036239155.1	full
GCF_036247045.1	Streptomyces albidoflavus (strain=NBC 01722)	1886	5934	Unknown	Unknown	GCF_036247045.1	full
GCF_038242915.1	Streptomyces albidoflavus (strain=RKJM-0023)	1886	6021	Unknown	Unknown	GCF_038242915.1	full
GCF_038662715.1	Streptomyces albidoflavus (strain=SC-3)	1886	5987	Unknown	Unknown	GCF_038662715.1	full
GCF_041438585.1	Streptomyces albidoflavus (strain=NBC 01791)	1886	6103	Unknown	Unknown	GCF_041438585.1	full
GCF_041438605.1	Streptomyces albidoflavus (strain=NBC 01790)	1886	5672	Unknown	Unknown	GCF_041438605.1	full
GCF_041438665.1	Streptomyces albidoflavus (strain=NBC 01747)	1886	6102	Unknown	Unknown	GCF_041438665.1	full
GCF_041438825.1	Streptomyces albidoflavus (strain=NBC 01692)	1886	6124	Unknown	Unknown	GCF_041438825.1	full
GCF_041438845.1	Streptomyces albidoflavus (strain=NBC_01616)	1886	6110	Unknown	Unknown	GCF_041438845.1	full
GCF_042447705.1	Streptomyces albidoflavus (strain=S20)	1886	5764	Unknown	Unknown	GCF_042447705.1	full
GCF_045039635.1	Streptomyces albidoflavus (strain=NBC_01110)	1886	6068	Unknown	Unknown	GCF_045039635.1	full
GCF_045039795.1	Streptomyces albidoflavus (strain=NBC_01170)	1886	6008	Unknown	Unknown	GCF_045039795.1	full
GCF_045039995.1	Streptomyces albidoflavus (strain=NBC_01374)	1886	6160	Unknown	Unknown	GCF_045039995.1	full
GCF_045209585.1	Streptomyces albidoflavus (strain=NBC_01621)	1886	6122	Unknown	Unknown	GCF_045209585.1	full
GCF_045209685.1	Streptomyces albidoflavus (strain=NBC 01627)	1886	6079	Unknown	Unknown	GCF_045209685.1	full
GCF_045209765.1	Streptomyces albidoflavus (strain=NBC 01640)	1886	6071	Unknown	Unknown	GCF_045209765.1	full
GCF_045210185.1	Streptomyces albidoflavus (strain=NBC 01661)	1886	6183	Unknown	Unknown	GCF_045210185.1	full
GCF_045276955.1	Streptomyces albidoflavus (strain=NBC 01665)	1886	6112	Unknown	Unknown	GCF_045276955.1	full
GCF_045276985.1	Streptomyces albidoflavus (strain=NBC 01671)	1886	5922	Unknown	Unknown	GCF_045276985.1	full
GCF_045277005.1	Streptomyces albidoflavus (strain=NBC 01673)	1886	5992	Unknown	Unknown	GCF_045277005.1	full
GCF_045277015.1	Streptomyces albidoflavus (strain=NBC 01675)	1886	6099	Unknown	Unknown	GCF_045277015.1	full
GCF_947311705.1	Streptomyces albidoflavus (strain=CCOS 2040)	1886	5831	Unknown	Unknown	GCF_947311705.1	full
GCF_011006355.1	Streptomyces albus (strain=CAS922)	1888	6562	Unknown	Unknown	GCF_011006355.1	full
GCF_024752535.1	Streptomyces albus (strain=DSM 40763)	1888	6518	Unknown	Unknown	GCF_024752535.1	full
GCF_001632865.1	Streptomyces ambofaciens (strain=DSM 40697)	1889	6744	Unknown	Unknown	GCF_001632865.1	full
GCF_012044595.1	Streptomyces antibioticus (strain=DSM 41481)	1890	7327	Unknown	Unknown	GCF_012044595.1	full
GCF_019378935.1	Streptomyces anulatus (strain=VUW1)	1892	7515	Unknown	Unknown	GCF_019378935.1	full
GCF_020783455.1	Streptomyces anulatus (strain=YINM00001)	1892	7344	Unknown	Unknown	GCF_020783455.1	full
GCF_035917915.1	Streptomyces anulatus (strain=NBC 01759)	1892	7779	Unknown	Unknown	GCF_035917915.1	full
GCF_035954115.1	Streptomyces anulatus (strain=NBC_01333)	1892	7597	Unknown	Unknown	GCF_035954115.1	full
GCF_036010525.1	Streptomyces anulatus (strain=NBC_01196)	1892	7485	Unknown	Unknown	GCF_036010525.1	full
GCF_036206925.1	Streptomyces anulatus (strain=NBC_00171)	1892	7287	Unknown	Unknown	GCF_036206925.1	full
GCF_036227625.1	Streptomyces anulatus (strain=NBC_01437)	1892	7643	Unknown	Unknown	GCF_036227625.1	full
GCF_036227645.1	Streptomyces anulatus (strain=NBC_01436)	1892	7646	Unknown	Unknown	GCF_036227645.1	full
GCF_036232045.1	Streptomyces anulatus (strain=NBC_01421)	1892	7741	Unknown	Unknown	GCF_036232045.1	full
GCF_036346555.1	Streptomyces anulatus (strain=NBC_00535)	1892	7552	Unknown	Unknown	GCF_036346555.1	full
GCF_036346915.1	Streptomyces anulatus (strain=NBC_00502)	1892	7505	Unknown	Unknown	GCF_036346915.1	full
GCF_045039575.1	Streptomyces anulatus (strain=NBC_01106)	1892	7477	Unknown	Unknown	GCF_045039575.1	full
GCF_045039695.1	Streptomyces anulatus (strain=NBC_01134)	1892	8089	Unknown	Unknown	GCF_045039695.1	full
GCF_045040235.1	Streptomyces anulatus (strain=NBC_01417)	1892	7913	Unknown	Unknown	GCF_045040235.1	full
GCF_045040245.1	Streptomyces anulatus (strain=NBC_01418)	1892	7354	Unknown	Unknown	GCF_045040245.1	full
GCF_045040255.1	Streptomyces anulatus (strain=NBC_01419)	1892	7745	Unknown	Unknown	GCF_045040255.1	full
GCF_045040355.1	Streptomyces anulatus (strain=NBC_01516)	1892	7765	Unknown	Unknown	GCF_045040355.1	full
GCF_045040385.1	Streptomyces anulatus (strain=NBC_01522)	1892	7372	Unknown	Unknown	GCF_045040385.1	full
GCF_045040395.1	Streptomyces anulatus (strain=NBC_01523)	1892	8079	Unknown	Unknown	GCF_045040395.1	full
GCF_045041435.1	Streptomyces anulatus (strain=NBC_00107)	1892	7294	Unknown	Unknown	GCF_045041435.1	full
GCF_045162665.1	Streptomyces anulatus (strain=NBC_00990)	1892	7592	Unknown	Unknown	GCF_045162665.1	full
GCF_045162735.1	Streptomyces anulatus (strain=NBC_01010)	1892	7521	Unknown	Unknown	GCF_045162735.1	full
GCF_045162845.1	Streptomyces anulatus (strain=NBC_01069)	1892	7592	Unknown	Unknown	GCF_045162845.1	full
GCF_045206395.1	Streptomyces anulatus (strain=NBC_00501)	1892	7612	Unknown	Unknown	GCF_045206395.1	full
GCF_045208065.1	Streptomyces anulatus (strain=NBC_01414)	1892	7787	Unknown	Unknown	GCF_045208065.1	full
GCF_045208205.1	Streptomyces anulatus (strain=NBC 01543)	1892	7684	Unknown	Unknown	GCF_045208205.1	full
GCF_045208405.1	Streptomyces anulatus (strain=NBC 01556)	1892	7185	Unknown	Unknown	GCF_045208405.1	full
GCF_045208455.1	Streptomyces anulatus (strain=NBC 01576)	1892	7634	Unknown	Unknown	GCF_045208455.1	full
GCF_045208495.1	Streptomyces anulatus (strain=NBC_01582)	1892	7487	Unknown	Unknown	GCF_045208495.1	full
GCF_045208695.1	Streptomyces anulatus (strain=NBC_01598)	1892	7602	Unknown	Unknown	GCF_045208695.1	full
GCF_045209675.1	Streptomyces anulatus (strain=NBC 01625)	1892	7727	Unknown	Unknown	GCF_045209675.1	full
GCF_045209775.1	Streptomyces anulatus (strain=NBC 01641)	1892	7770	Unknown	Unknown	GCF_045209775.1	full
GCF_045209805.1	Streptomyces anulatus (strain=NBC 01648)	1892	7707	Unknown	Unknown	GCF_045209805.1	full
GCF_045209825.1	Streptomyces anulatus (strain=NBC 01651)	1892	7786	Unknown	Unknown	GCF_045209825.1	full
GCF_045210015.1	Streptomyces anulatus (strain=NBC 01654)	1892	7805	Unknown	Unknown	GCF_045210015.1	full
GCF_003330865.1	Streptomyces atratus (strain=SCSIO_ZH16)	1893	7749	Unknown	Unknown	GCF_003330865.1	full
GCF_034300035.1	Streptomyces atratus (strain=MJM3502)	1893	7859	Unknown	Unknown	GCF_034300035.1	full
GCF_045208325.1	Streptomyces atratus (strain=NBC 01545)	1893	7206	Unknown	Unknown	GCF_045208325.1	full
GCF_045286965.1	Streptomyces atratus (strain=NBC_00043)	1893	7387	Unknown	Unknown	GCF_045286965.1	full
GCF_045039755.1	Streptomyces avidinii (strain=NBC_01157)	1895	8506	Unknown	Unknown	GCF_045039755.1	full
GCF_045161815.1	Streptomyces avidinii (strain=NBC_00832)	1895	7780	Unknown	Unknown	GCF_045161815.1	full
GCF_001693675.1	Streptomyces clavuligerus (strain=F613-1)	1901	6078	Unknown	Unknown	GCF_001693675.1	full
GCF_003454755.1	Streptomyces clavuligerus (strain=F1D-5)	1901	6331	Unknown	Unknown	GCF_003454755.1	full
GCF_005519465.1	Streptomyces clavuligerus (strain=ATCC 27064)	1901	6783	Unknown	Unknown	GCF_005519465.1	full
