gene	dominant_allele	protein_id	locus_tag	gene_id	product	go_ids	go_process	go_function	go_component
Strep_C10001	Strep_C10001A3	WP_003974987.1	SC_RS21920	SC_RS21920	ABC transporter ATP-binding protein	GO:0005524;GO:0016887;GO:0140359		ATP binding|0005524||IEA|ATP hydrolysis activity|0016887||IEA|ABC-type transporter activity|0140359||IEA	
Strep_C10035	Strep_C10035A0	WP_003966937.1	CVT30_RS16220	CVT30_RS16220	DNA-directed RNA polymerase subunit alpha	GO:0003677;GO:0003899;GO:0006351;GO:0046983	DNA-templated transcription|0006351||IEA	DNA binding|0003677||IEA|DNA-directed RNA polymerase activity|0003899||IEA|protein dimerization activity|0046983||IEA	
Strep_C10036	Strep_C10036A3	WP_003974813.1	SC_RS22980	SC_RS22980	LacI family DNA-binding transcriptional regulator	GO:0003677;GO:0003700;GO:0006355	regulation of DNA-templated transcription|0006355||IEA	DNA binding|0003677||IEA|DNA-binding transcription factor activity|0003700||IEA	
Strep_C10038	Strep_C10038A3	WP_003976409.1	SC_RS14020	SC_RS14020	NADP-dependent oxidoreductase	GO:0016628		oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor|0016628||IEA	
Strep_C10041	Strep_C10041A2	WP_003978667.1	SC_RS02945	SC_RS02945	alcohol dehydrogenase AdhP				
Strep_C10045	Strep_C10045A3	WP_003976030.1	SC_RS15935	SC_RS15935	agmatinase	GO:0008295;GO:0008783	spermidine biosynthetic process|0008295||IEA	agmatinase activity|0008783||IEA	
Strep_C10052	Strep_C10052A2	WP_003978051.1	SC_RS05975	SC_RS05975	ABC transporter permease	GO:0042626;GO:0140359		ATPase-coupled transmembrane transporter activity|0042626||IEA|ABC-type transporter activity|0140359||IEA	
Strep_C10062	Strep_C10062A5	WP_045559691.1	CVT30_RS07675	CVT30_RS07675	sugar ABC transporter substrate-binding protein				
Strep_C10063	Strep_C10063A0	WP_328836315.1	OHU10_RS12265	OHU10_RS12265	TIGR03842 family LLM class F420-dependent oxidoreductase	GO:0016491;GO:0070967		oxidoreductase activity|0016491||IEA|coenzyme F420 binding|0070967||IEA	
Strep_C10069	Strep_C10069A3	WP_016325854.1	SC_RS10220	SC_RS10220	LacI family DNA-binding transcriptional regulator	GO:0003677;GO:0003700;GO:0006355	regulation of DNA-templated transcription|0006355||IEA	DNA binding|0003677||IEA|DNA-binding transcription factor activity|0003700||IEA	
