strain_id	organism	unique_genes	total_genes	unique_gene_percent
UP000310490	Streptomyces sp. So13.3	2899	7811	37.11432595058251
UP000195880	Streptomyces alboflavus	2861	9166	31.21317914030111
UP000000377	Streptomyces bingchenggensis (strain BCW-1)	2848	9837	28.951916234624374
UP000031113	Streptomyces sp. 769	2726	9296	29.324440619621345
UP000464107	Streptomyces sp. NHF165	2435	6443	37.79295359304672
UP000595046	Streptomyces bathyalis	2324	6083	38.204833141542004
UP000011074	Streptomyces rimosus subsp. rimosus (strain ATCC 10970 / DSM 40260 / JCM 4667 / NRRL 2234)	2273	7872	28.8744918699187
UP000509303	Streptomyces buecherae	2153	6710	32.08643815201192
UP000195755	Streptomyces albireticuli	2121	6882	30.81952920662598
UP000516052	Streptomyces roseirectus	2031	8104	25.061697926949655
UP000509509	Streptomyces sp. NA04227	2019	6299	32.05270677885378
UP000271554	Streptomyces hundungensis	1967	7231	27.202323330106488
UP000194218	Streptomyces marincola	1877	5185	36.200578592092576
UP000515544	Streptomyces sp. SCUT-3	1748	4858	35.9818855496089
UP000267900	Streptomyces luteoverticillatus (Streptoverticillium luteoverticillatus)	1703	6048	28.158068783068785
UP000509142	Streptomyces sp. NA02950	1662	7682	21.634990887789638
UP000259636	Streptomyces koyangensis	1657	5888	28.141983695652172
UP000253868	Streptomyces paludis	1632	6739	24.21724291437899
UP000516428	Streptomyces xanthii	1630	7291	22.356329721574543
UP000516444	Streptomyces aurantiacus	1573	8216	19.145569620253163
UP000092659	Streptomyces griseochromogenes	1514	8838	17.130572527721206
UP000327294	Streptomyces phaeolivaceus	1471	8197	17.9455898499451
UP000001444	Streptomyces scabiei (strain 87.22)	1469	8486	17.310864954041953
UP000595636	Streptomyces liliifuscus	1463	9454	15.474931246033425
UP000501179	Streptomyces liangshanensis	1461	6393	22.85312060065697
UP000249616	Streptomyces cadmiisoli	1458	8032	18.15239043824701
UP000308220	Streptomyces sp. YIM 121038	1393	8875	15.695774647887323
UP000252698	Streptomyces atratus	1391	7375	18.861016949152543
UP000244201	Streptomyces lunaelactis	1381	7010	19.700427960057063
UP000509480	Streptomyces sp. Rer75	1374	8103	16.95668271010737
UP000192726	Streptomyces gilvosporeus	1260	7023	17.94105083297736
UP000068029	Streptomyces sp. CdTB01	1231	8500	14.48235294117647
UP000000428	Streptomyces avermitilis (strain ATCC 31267 / DSM 46492 / JCM 5070 / NBRC 14893 / NCIMB 12804 / NRRL 8165 / MA-4680)	1224	7564	16.181914331041778
UP000095349	Streptomyces rubrolavendulae	1215	5384	22.566864784546805
UP000516422	Streptomyces griseofuscus	1210	7883	15.349486236204491
UP000241596	Streptomyces sp. P3	1198	7668	15.62336984872196
UP000231791	Streptomyces lavendulae subsp. lavendulae	1198	7619	15.723848274051713
UP000280197	Streptomyces aquilus	1197	8868	13.497970230040595
UP000509418	Streptomyces chartreusis	1190	9143	13.015421634036969
UP000436138	Streptomyces broussonetiae	1189	8022	14.821740214410372
UP000244900	Streptomyces tirandamycinicus	1161	5879	19.748256506208538
UP000034034	Streptomyces xiamenensis	1152	5446	21.153139919206758
UP000595635	Streptomyces sp. KY75	1145	7428	15.414647280560043
UP000464558	Streptomyces sp. GS7	1142	7247	15.758244790947979
UP000273659	Streptomyces sp. ADI95-16	1121	7827	14.322217963459819
UP000008703	Streptomyces violaceusniger (strain Tu 4113)	1120	8775	12.763532763532764
UP000324106	Streptomyces venezuelae	1100	7242	15.189174261253797
UP000501663	Streptomyces sp. DSM 40868	1099	7605	14.451019066403681
